"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"769","Bluefish (Pomatomus saltatrix)","All prey",1973,NA,0,0
"770","Bluefish (Pomatomus saltatrix)","All prey",1974,NA,0,0
"771","Bluefish (Pomatomus saltatrix)","All prey",1975,NA,0,0
"772","Bluefish (Pomatomus saltatrix)","All prey",1976,NA,0,0
"773","Bluefish (Pomatomus saltatrix)","All prey",1977,NA,0,0
"774","Bluefish (Pomatomus saltatrix)","All prey",1978,NA,0,0
"775","Bluefish (Pomatomus saltatrix)","All prey",1979,24.1383913711479,134.995875840373,0.0928804186270798
"776","Bluefish (Pomatomus saltatrix)","All prey",1980,NA,0,0
"777","Bluefish (Pomatomus saltatrix)","All prey",1981,NA,0,0
"778","Bluefish (Pomatomus saltatrix)","All prey",1982,18.4681220245574,83.4069655123701,0.75440869774894
"779","Bluefish (Pomatomus saltatrix)","All prey",1983,0,0,0
"780","Bluefish (Pomatomus saltatrix)","All prey",1984,NA,0,0
"781","Bluefish (Pomatomus saltatrix)","All prey",1985,12.1547473164188,43.2827000419732,2.70904231012079
"782","Bluefish (Pomatomus saltatrix)","All prey",1986,NA,0,0
"783","Bluefish (Pomatomus saltatrix)","All prey",1987,NA,0,0
"784","Bluefish (Pomatomus saltatrix)","All prey",1988,NA,0,0
"785","Bluefish (Pomatomus saltatrix)","All prey",1989,NA,0,0
"786","Bluefish (Pomatomus saltatrix)","All prey",1990,NA,0,0
"787","Bluefish (Pomatomus saltatrix)","All prey",1991,NA,0,0
"788","Bluefish (Pomatomus saltatrix)","All prey",1992,1.52924484344108,12.0359863802582,5.68633577628132e-53
"789","Bluefish (Pomatomus saltatrix)","All prey",1993,3.70594006391855,15.9293771488235,0.210777077214201
"790","Bluefish (Pomatomus saltatrix)","All prey",1994,0,0,0
"791","Bluefish (Pomatomus saltatrix)","All prey",1995,NA,0,0
"792","Bluefish (Pomatomus saltatrix)","All prey",1996,16.0090038852642,90.1864954597968,0.733265691808937
"793","Bluefish (Pomatomus saltatrix)","All prey",1997,12.9648752623364,87.2893919698453,0.0762880716538959
"794","Bluefish (Pomatomus saltatrix)","All prey",1998,6.45426972715051,58.8658888278871,0.0114381360294669
"795","Bluefish (Pomatomus saltatrix)","All prey",1999,11.7920102748087,79.6038866449267,0.000423788200491501
"796","Bluefish (Pomatomus saltatrix)","All prey",2000,7.9050713534917,24.8432704054314,0.908088935255247
"797","Bluefish (Pomatomus saltatrix)","All prey",2001,8.41932866572661,60.4294381999773,0.00184217797095463
"798","Bluefish (Pomatomus saltatrix)","All prey",2002,5.78983653929226,45.2097951333709,1.52919149962465e-14
"799","Bluefish (Pomatomus saltatrix)","All prey",2003,27.6748550206488,112.294866350402,1.51648705276831
"800","Bluefish (Pomatomus saltatrix)","All prey",2004,NA,0,0
"801","Bluefish (Pomatomus saltatrix)","All prey",2005,15.2731450793887,104.305809354601,1.9590994792966e-11
"802","Bluefish (Pomatomus saltatrix)","All prey",2006,19.3029582392615,76.1664513030815,1.51690944610584
"803","Bluefish (Pomatomus saltatrix)","All prey",2007,8.45168631058988,40.5482886869394,0.223331943628731
"804","Bluefish (Pomatomus saltatrix)","All prey",2008,NA,0,0
"805","Bluefish (Pomatomus saltatrix)","All prey",2009,NA,0,0
"806","Bluefish (Pomatomus saltatrix)","All prey",2010,19.6792304761054,90.1982070923169,0.921739160141318
"807","Bluefish (Pomatomus saltatrix)","All prey",2011,12.2412986470917,39.2775589493451,2.02574193261645
"808","Bluefish (Pomatomus saltatrix)","All prey",2012,11.3360649975614,28.5701119180482,1.83905711627281
"809","Bluefish (Pomatomus saltatrix)","All prey",2013,12.9204545969995,47.4864889941625,0.387467750011555
"810","Bluefish (Pomatomus saltatrix)","All prey",2014,NA,0,0
"811","Bluefish (Pomatomus saltatrix)","All prey",2015,2.94818021632579,8.58873977725655,0.382522613282594
"812","Bluefish (Pomatomus saltatrix)","All prey",2016,1.80513895405584,8.83215030807994,0.109543649918682
"813","Bluefish (Pomatomus saltatrix)","All prey",2017,NA,0,0
"814","Bluefish (Pomatomus saltatrix)","All prey",2018,8.04417767741298,31.9143032863046,1.08955790991771
"815","Bluefish (Pomatomus saltatrix)","All prey",2019,9.956498886512,41.9376214513665,1.53617716502039
"816","Bluefish (Pomatomus saltatrix)","All prey",2020,NA,0,0
