"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"865","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1973,NA,0,0
"866","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1974,NA,0,0
"867","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1975,NA,0,0
"868","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1976,NA,0,0
"869","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1977,NA,0,0
"870","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1978,NA,0,0
"871","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1979,0,0,0
"872","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1980,NA,0,0
"873","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1981,NA,0,0
"874","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1982,0,0,0
"875","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1983,0,0,0
"876","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1984,NA,0,0
"877","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1985,0,0,0
"878","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1986,NA,0,0
"879","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1987,NA,0,0
"880","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1988,NA,0,0
"881","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1989,NA,0,0
"882","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1990,NA,0,0
"883","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1991,NA,0,0
"884","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1992,0.055080484034241,0.661208577540422,3.27311627744988e-40
"885","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1993,1.22561934617807,4.77231037483809,0.0940445991084004
"886","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1994,0,0,0
"887","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1995,NA,0,0
"888","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1996,8.51559607502282,65.5986597192785,0.0202715579722684
"889","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1997,2.85137663437139,11.1580777893988,0.102664805706527
"890","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1998,5.05680994041368,31.6982879405731,0.00488924940170703
"891","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",1999,2.81958625132202,17.1957215358648,0.000440569761935173
"892","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2000,0,0,0
"893","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2001,0,0,0
"894","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2002,0.216387235223829,1.44558464147416,2.17667039420468e-12
"895","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2003,0.24128716967324,0.968599462163027,0.000973420854933918
"896","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2004,NA,0,0
"897","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2005,0.252785589185336,2.04844494860255,1.4037327773898e-12
"898","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2006,0.288587818865272,1.83595315458855,0.00228218577905048
"899","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2007,0,0,0
"900","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2008,NA,0,0
"901","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2009,NA,0,0
"902","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2010,0,0,0
"903","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2011,0,0,0
"904","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2012,0,0,0
"905","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2013,0.153084925305256,0.749763383898117,0.000615052466442821
"906","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2014,NA,0,0
"907","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2015,0,0,0
"908","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2016,0,0,0
"909","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2017,NA,0,0
"910","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2018,0,0,0
"911","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2019,2.22992104394499,7.91966839483443,0.0255054760309711
"912","Bluefish (Pomatomus saltatrix)","Atlantic herring (Clupea harengus)",2020,NA,0,0
