"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"1105","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1973,NA,0,0
"1106","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1974,NA,0,0
"1107","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1975,NA,0,0
"1108","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1976,NA,0,0
"1109","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1977,NA,0,0
"1110","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1978,NA,0,0
"1111","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1979,0,0,0
"1112","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1980,NA,0,0
"1113","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1981,NA,0,0
"1114","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1982,0,0,0
"1115","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1983,0,0,0
"1116","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1984,NA,0,0
"1117","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1985,0,0,0
"1118","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1986,NA,0,0
"1119","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1987,NA,0,0
"1120","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1988,NA,0,0
"1121","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1989,NA,0,0
"1122","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1990,NA,0,0
"1123","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1991,NA,0,0
"1124","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1992,0,0,0
"1125","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1993,0,0,0
"1126","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1994,0,0,0
"1127","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1995,NA,0,0
"1128","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1996,0.497426918452994,1.84373847248113,0.00226319268151005
"1129","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1997,0.131959010869565,1.24216222139498,0.000329070237475338
"1130","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1998,0.916062353996394,6.01731862256371,0.00112055677648791
"1131","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",1999,0,0,0
"1132","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2000,0,0,0
"1133","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2001,0.353131643614815,2.90654856053587,3.51485524217072e-05
"1134","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2002,0,0,0
"1135","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2003,0.380417898321873,1.99540938880357,0.00107928120124276
"1136","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2004,NA,0,0
"1137","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2005,0,0,0
"1138","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2006,0,0,0
"1139","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2007,0,0,0
"1140","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2008,NA,0,0
"1141","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2009,NA,0,0
"1142","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2010,0,0,0
"1143","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2011,0,0,0
"1144","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2012,0,0,0
"1145","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2013,0.39108738182108,2.47367394389166,0.00051107064505598
"1146","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2014,NA,0,0
"1147","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2015,0.571527177343057,2.97369079834381,0.00447668511469527
"1148","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2016,0,0,0
"1149","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2017,NA,0,0
"1150","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2018,0,0,0
"1151","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2019,0,0,0
"1152","Bluefish (Pomatomus saltatrix)","Atlantic mackerel (Scomber scombrus)",2020,NA,0,0
