"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"1057","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1973,NA,0,0
"1058","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1974,NA,0,0
"1059","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1975,NA,0,0
"1060","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1976,NA,0,0
"1061","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1977,NA,0,0
"1062","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1978,NA,0,0
"1063","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1979,1.53224311168339,11.1187031522896,0.00303852364407628
"1064","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1980,NA,0,0
"1065","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1981,NA,0,0
"1066","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1982,8.54740042017231,35.1394045698661,0.241057319972645
"1067","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1983,0,0,0
"1068","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1984,NA,0,0
"1069","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1985,2.01662084324707,7.22341651237374,0.10298450080792
"1070","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1986,NA,0,0
"1071","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1987,NA,0,0
"1072","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1988,NA,0,0
"1073","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1989,NA,0,0
"1074","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1990,NA,0,0
"1075","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1991,NA,0,0
"1076","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1992,0.0181857408615682,0.218531332610893,3.36195453769986e-32
"1077","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1993,0.532544255415041,2.45235599171246,0.0236922468179806
"1078","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1994,0,0,0
"1079","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1995,NA,0,0
"1080","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1996,0.176219663940505,0.588408921598921,0.00986632975086464
"1081","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1997,1.13989996031396,8.61443792482034,0.0182782240848545
"1082","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1998,0.101863851740747,0.731689827301451,7.20595755778638e-06
"1083","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",1999,3.49100141537094,18.2001130002189,0.000661627292287668
"1084","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2000,0.575314461190231,2.89404346363358,0.0465495361264411
"1085","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2001,0.303822959903953,2.09135287260811,0.00025623174764382
"1086","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2002,0.00237693344897085,0.0258581645422837,5.17867120817486e-15
"1087","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2003,3.3376702438279,17.2939304294807,0.175380184143245
"1088","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2004,NA,0,0
"1089","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2005,0.0467637548040441,0.427225615635987,8.689620571148e-15
"1090","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2006,4.44350811326265,18.3154067058979,0.266931121588163
"1091","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2007,0.0806344946201947,0.471758257054146,0.000123458825186091
"1092","Bluefish (Pomatomus saltatrix)","Butterfish (Peprilus triacanthus)",2008,NA,0,0
