"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"913","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1973,NA,0,0
"914","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1974,NA,0,0
"915","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1975,NA,0,0
"916","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1976,NA,0,0
"917","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1977,NA,0,0
"918","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1978,NA,0,0
"919","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1979,3.61178714113905,10.9968380396282,0.028150434124522
"920","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1980,NA,0,0
"921","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1981,NA,0,0
"922","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1982,0.25313292830314,1.13484349062043,0.0120984606124883
"923","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1983,0,0,0
"924","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1984,NA,0,0
"925","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1985,1.10701092469553,7.48186052733991,0.00262139508054045
"926","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1986,NA,0,0
"927","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1987,NA,0,0
"928","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1988,NA,0,0
"929","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1989,NA,0,0
"930","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1990,NA,0,0
"931","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1991,NA,0,0
"932","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1992,0.0447458220946714,0.721881185566589,7.24266945253059e-34
"933","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1993,0.514253574204027,2.73631899736645,0.0423496352433873
"934","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1994,0,0,0
"935","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1995,NA,0,0
"936","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1996,0.425186872964025,2.53001279484581,0.0327570326501376
"937","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1997,0.273509293587269,1.59933037969303,0.00497187512329147
"938","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1998,0.0887373789013571,0.587232352423872,3.33491339079279e-05
"939","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",1999,1.57355515192992,10.9238651197754,0.000591108461211305
"940","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2000,0.615212931649273,2.46384678102663,0.0431357374134235
"941","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2001,0.89723509555707,8.27284974663814,2.22825266258094e-05
"942","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2002,0.0532982345013111,0.246924717858854,3.11362475696939e-14
"943","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2003,1.19657174569298,4.28542714806912,0.061654421189104
"944","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2004,NA,0,0
"945","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2005,0.532979118229225,6.43184428089098,2.15373083469022e-13
"946","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2006,1.04682519339104,4.331062346575,0.0814299628497322
"947","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2007,2.00041462456623,13.3694465178577,0.00306321548145335
"948","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2008,NA,0,0
"949","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2009,NA,0,0
"950","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2010,1.57897397149047,7.35877146482155,0.148533431547045
"951","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2011,0.545534350975422,1.90906771401725,0.0432317639230616
"952","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2012,3.75785692074704,12.9002744469946,0.532391179661072
"953","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2013,1.70199321386863,7.39618369906341,0.233277802692618
"954","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2014,NA,0,0
"955","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2015,0.41079185660953,1.66085325010865,0.0251264036197493
"956","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2016,0.704532358447781,2.77102788125417,0.00168653391185953
"957","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2017,NA,0,0
"958","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2018,0.925816947154867,3.94178883869505,0.0401917117343542
"959","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2019,0.0275782401099537,0.120905167949261,4.44367096494583e-05
"960","Bluefish (Pomatomus saltatrix)","Loligo squid (Loligo sp.)",2020,NA,0,0
