"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"817","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1973,NA,0,0
"818","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1974,NA,0,0
"819","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1975,NA,0,0
"820","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1976,NA,0,0
"821","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1977,NA,0,0
"822","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1978,NA,0,0
"823","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1979,0.101725236433624,0.514121688048582,7.06757345889424e-05
"824","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1980,NA,0,0
"825","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1981,NA,0,0
"826","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1982,0.0493494479377959,0.355129921822816,7.01487010697106e-05
"827","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1983,0,0,0
"828","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1984,NA,0,0
"829","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1985,1.41642490733494,5.52910183824062,0.0419396826237827
"830","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1986,NA,0,0
"831","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1987,NA,0,0
"832","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1988,NA,0,0
"833","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1989,NA,0,0
"834","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1990,NA,0,0
"835","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1991,NA,0,0
"836","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1992,0,0,0
"837","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1993,0.0486125796143396,0.287118121064523,6.89947753561876e-05
"838","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1994,0,0,0
"839","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1995,NA,0,0
"840","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1996,0,0,0
"841","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1997,0,0,0
"842","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1998,0,0,0
"843","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",1999,0.0182052852103047,0.103418795696076,3.78031256555712e-06
"844","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2000,0,0,0
"845","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2001,0,0,0
"846","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2002,0,0,0
"847","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2003,0.0102236217484542,0.0574707720854495,0.000126127185362241
"848","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2004,NA,0,0
"849","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2005,0,0,0
"850","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2006,0.0129527529699085,0.0717688506011415,8.76925071922136e-05
"851","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2007,0.0706500719020536,0.390065169990733,0.000743176546798765
"852","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2008,NA,0,0
"853","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2009,NA,0,0
"854","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2010,14.7190328633581,76.0673600886554,0.016467025401544
"855","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2011,0,0,0
"856","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2012,0,0,0
"857","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2013,6.32504924932763,54.1004351354957,0.00620989286560135
"858","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2014,NA,0,0
"859","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2015,0.133390451545352,0.511425992569875,0.00218650589064586
"860","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2016,0,0,0
"861","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2017,NA,0,0
"862","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2018,0,0,0
"863","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2019,0,0,0
"864","Bluefish (Pomatomus saltatrix)","Sand lance (Ammodytes sp.)",2020,NA,0,0
