"","Predator","Prey","Year","Mean.consump","UCI","LCI"
"961","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1973,NA,0,0
"962","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1974,NA,0,0
"963","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1975,NA,0,0
"964","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1976,NA,0,0
"965","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1977,NA,0,0
"966","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1978,NA,0,0
"967","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1979,0,0,0
"968","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1980,NA,0,0
"969","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1981,NA,0,0
"970","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1982,0,0,0
"971","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1983,0,0,0
"972","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1984,NA,0,0
"973","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1985,0.0667612211475645,0.272924932099051,0.00305257908402716
"974","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1986,NA,0,0
"975","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1987,NA,0,0
"976","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1988,NA,0,0
"977","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1989,NA,0,0
"978","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1990,NA,0,0
"979","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1991,NA,0,0
"980","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1992,0.771318087344052,15.8188462713952,1.03609508266605e-34
"981","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1993,0.822953615519629,3.50673649867937,0.00584905418580373
"982","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1994,0,0,0
"983","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1995,NA,0,0
"984","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1996,0,0,0
"985","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1997,1.34136016060985,10.2945890544145,0.00570842218533208
"986","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1998,0,0,0
"987","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",1999,0.131116807509363,0.979893059966931,8.96184038826707e-06
"988","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2000,0,0,0
"989","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2001,0.0229233774472318,0.155676921556595,1.47102700379358e-07
"990","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2002,0.0622030195241573,0.48933974753447,5.52942240911454e-12
"991","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2003,0,0,0
"992","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2004,NA,0,0
"993","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2005,0.131308739760418,1.40259799648376,2.65871798972689e-12
"994","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2006,2.45850385972459,23.8172291855173,0.0103709100883119
"995","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2007,0,0,0
"996","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2008,NA,0,0
"997","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2009,NA,0,0
"998","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2010,0.526646364433592,1.94322252532366,0.0258802272687589
"999","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2011,0.106356576557312,0.404782700052509,0.000515905054317911
"1000","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2012,0.542799434675785,2.51896081120674,0.00097954584783941
"1001","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2013,0,0,0
"1002","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2014,NA,0,0
"1003","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2015,0,0,0
"1004","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2016,0,0,0
"1005","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2017,NA,0,0
"1006","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2018,0,0,0
"1007","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2019,0,0,0
"1008","Bluefish (Pomatomus saltatrix)","Silver hake (Merluccius bilinearis)",2020,NA,0,0
