"","Predator","Prey","Pct.m","Pct.m.ci","Pct.fo","Pct.fo.ci","Nstom","Ntows","Meansw"
"4814","Bluefish (Pomatomus saltatrix)","Unidentified fish",24.9173123477319,0.498427160804033,17.1639495539834,1.29618172287882,3251,1023,1.01636807782604
"4815","Bluefish (Pomatomus saltatrix)","Engraulidae",15.9669905090134,0.281790888620882,9.13565056905568,0.990407880419803,3251,1023,0.651287716180585
"4816","Bluefish (Pomatomus saltatrix)","Anchoa mitchilli",13.2320632599191,0.20761742366987,5.35219932328514,0.773693573264178,3251,1023,0.539731031721035
"4817","Bluefish (Pomatomus saltatrix)","Peprilus triacanthus",8.28541493849634,0.134413407135498,3.99876960935097,0.673517954583866,3251,1023,0.33795905182355
"4818","Bluefish (Pomatomus saltatrix)","Anchoa hepsetus",7.25485646711789,0.147714078808908,4.46016610273762,0.709602838282227,3251,1023,0.29592294784793
"4819","Bluefish (Pomatomus saltatrix)","Loligo sp",6.01281283885537,0.086716561488501,4.39864657028607,0.704918877369517,3251,1023,0.245260441498277
"4820","Bluefish (Pomatomus saltatrix)","Ammodytes sp",4.09327431414083,0.191428673267701,0.55367579206398,0.255076072849294,3251,1023,0.166963165554118
"4821","Bluefish (Pomatomus saltatrix)","Cephalopoda",3.17381657952312,0.0578401074634671,3.62965241464165,0.642912423724136,3251,1023,0.129458820088033
"4822","Bluefish (Pomatomus saltatrix)","Etrumeus teres",2.5108583344702,0.0608988370916242,1.56874807751461,0.427160114568395,3251,1023,0.102416995199375
"4823","Bluefish (Pomatomus saltatrix)","Pomatomus saltatrix",1.10919974789306,0.0341393643380818,0.215318363580437,0.159338256184597,3251,1023,0.0452438529468374
"4824","Bluefish (Pomatomus saltatrix)","WDP",1.0835900793034,0.0249478123908829,5.47523838818825,0.782027271492128,3251,1023,0.0441992439105584
"4825","Bluefish (Pomatomus saltatrix)","Stenotomus chrysops",1.05153808637874,0.0249773853278075,0.73823438941864,0.294263042277748,3251,1023,0.0428918548155906
"4826","Bluefish (Pomatomus saltatrix)","Engraulis eurystole",1.05038304302537,0.0375479646800742,0.46139649338665,0.232959541625739,3251,1023,0.0428447410187053
"4827","Bluefish (Pomatomus saltatrix)","Brevoortia tyrannus",0.851307583949276,0.0266943125569362,0.18455859735466,0.147541295625803,3251,1023,0.0347245256897066
