"","Predator..size","mean","lci","uci"
"1","Atlantic cod..XL",0.14152380952381,0.114285714285714,0.168253968253968
"2","Spiny dogfish..L",0.140063492063492,0.120634920634921,0.168253968253968
"3","Atlantic cod..L",0.132730158730159,0.114285714285714,0.152380952380952
"4","Striped bass..M",0.128730158730159,0.104761904761905,0.149206349206349
"5","Goosefish..XL",0.127777777777778,0.107936507936508,0.149206349206349
"6","Thorny skate..L",0.124412698412698,0.107936507936508,0.146031746031746
"7","Haddock..L",0.124031746031746,0.104761904761905,0.146031746031746
"8","Goosefish..L",0.123777777777778,0.0888888888888889,0.152380952380952
"9","Thorny skate..XL",0.115301587301587,0.0952380952380952,0.13015873015873
"10","Black sea bass..M",0.112857142857143,0.0952380952380952,0.136507936507936
"11","Sea raven..M",0.112,0.0920634920634921,0.133333333333333
"12","Bluefish..L",0.11168253968254,0.0857142857142857,0.13015873015873
"13","Atlantic cod..M",0.10984126984127,0.0888888888888889,0.126984126984127
"14","Smooth dogfish..L",0.108920634920635,0.0888888888888889,0.133333333333333
"15","Winter skate..XL",0.10831746031746,0.0888888888888889,0.13015873015873
"16","Spiny dogfish..M",0.107936507936508,0.0857142857142857,0.126984126984127
"17","Red hake..L",0.107777777777778,0.0888888888888889,0.13015873015873
"18","Winter skate..L",0.106888888888889,0.0857142857142857,0.133333333333333
"19","Haddock..M",0.105555555555556,0.0857142857142857,0.120634920634921
"20","Sea raven..S",0.103015873015873,0.0825396825396825,0.123809523809524
"21","Spotted hake..M",0.101206349206349,0.0857142857142857,0.120634920634921
"22","Cunner..M",0.100984126984127,0.0857142857142857,0.117460317460317
"23","Little skate..M",0.0988888888888889,0.0793650793650794,0.117460317460317
"24","Clearnose skate..M",0.0972698412698413,0.0761904761904762,0.117460317460317
"25","Clearnose skate..L",0.0966984126984127,0.0793650793650794,0.114285714285714
"26","Scup..M",0.0958095238095238,0.0793650793650794,0.117460317460317
"27","Bluefish..M",0.0957460317460317,0.0698412698412698,0.117460317460317
"28","Striped bass..L",0.0954285714285714,0.0793650793650794,0.111111111111111
"29","Thorny skate..M",0.0945079365079365,0.0761904761904762,0.111111111111111
"30","Longhorn sculpin..M",0.0940952380952381,0.073015873015873,0.111111111111111
"31","Black sea bass..S",0.0933333333333333,0.0761904761904762,0.114285714285714
"32","Summer flounder..M",0.0923809523809524,0.0793650793650794,0.107936507936508
"33","Barndoor skate..XL",0.0922857142857143,0.073015873015873,0.114285714285714
"34","Goosefish..M",0.0915238095238095,0.073015873015873,0.107936507936508
"35","Red hake..M",0.0915238095238095,0.0698412698412698,0.111111111111111
"36","Winter flounder..L",0.0914603174603175,0.0761904761904762,0.101587301587302
"37","Weakfish..M",0.0891111111111111,0.0698412698412698,0.107936507936508
"38","Smooth dogfish..M",0.0889206349206349,0.0698412698412698,0.104761904761905
"39","Goosefish..S",0.0885714285714286,0.0666666666666667,0.107936507936508
"40","Striped searobin..L",0.0885396825396825,0.073015873015873,0.101587301587302
"41","Winter skate..M",0.0877777777777778,0.0666666666666667,0.104761904761905
"42","Windowpane..M",0.0870793650793651,0.0634920634920635,0.104761904761905
"43","Atlantic croaker..M",0.086031746031746,0.073015873015873,0.0952380952380952
"44","Summer flounder..L",0.0851746031746032,0.0634920634920635,0.101587301587302
"45","Scup..S",0.0844126984126984,0.0666666666666667,0.104761904761905
"46","Spotted hake..S",0.0827301587301587,0.0698412698412698,0.0984126984126984
"47","Barndoor skate..L",0.0824126984126984,0.0634920634920635,0.101587301587302
"48","Haddock..S",0.082031746031746,0.0698412698412698,0.0984126984126984
"49","Atlantic mackerel..L",0.0816825396825397,0.0698412698412698,0.0952380952380952
"50","Pollock..L",0.0816825396825397,0.0634920634920635,0.0984126984126984
"51","Winter flounder..M",0.0815555555555556,0.0666666666666667,0.0984126984126984
"52","Pollock..XL",0.0807619047619048,0.0698412698412698,0.0920634920634921
"53","Longhorn sculpin..S",0.0805714285714286,0.0666666666666667,0.0952380952380952
"54","White hake..L",0.0805396825396825,0.0634920634920635,0.101587301587302
"55","Yellowtail flounder..M",0.0801904761904762,0.0666666666666667,0.0952380952380952
"56","Atlantic croaker..S",0.0796507936507937,0.0634920634920635,0.0920634920634921
"57","Fourspot flounder..M",0.0796190476190476,0.0634920634920635,0.0952380952380952
"58","Pollock..M",0.0796190476190476,0.0666666666666667,0.0952380952380952
"59","Atlantic mackerel..M",0.0788571428571429,0.0634920634920635,0.0952380952380952
"60","White hake..M",0.0786984126984127,0.0603174603174603,0.0984126984126984
"61","Yellowtail flounder..L",0.0784761904761905,0.0634920634920635,0.0920634920634921
"62","Northern searobin..M",0.0781904761904762,0.0634920634920635,0.0920634920634921
"63","Weakfish..S",0.0775873015873016,0.0634920634920635,0.0952380952380952
"64","Atlantic halibut..M",0.0771428571428571,0.0603174603174603,0.0920634920634921
"65","Atlantic halibut..L",0.077047619047619,0.0603174603174603,0.0888888888888889
"66","Spot..S",0.0750793650793651,0.0603174603174603,0.0857142857142857
"67","Rosette skate..M",0.0742222222222222,0.0603174603174603,0.0888888888888889
"68","Blackbelly rosefish..M",0.0735555555555556,0.0603174603174603,0.0888888888888889
"69","Ocean pout..M",0.0733968253968254,0.0571428571428571,0.0888888888888889
"70","Spiny dogfish..S",0.0732063492063492,0.0603174603174603,0.0888888888888889
"71","Alewife..M",0.0717142857142857,0.0603174603174603,0.0793650793650794
"72","Summer flounder..S",0.0712380952380952,0.0603174603174603,0.0825396825396825
"73","Silver hake..L",0.0708253968253968,0.0476190476190476,0.0920634920634921
"74","Thorny skate..S",0.0706031746031746,0.053968253968254,0.0857142857142857
"75","Yellowtail flounder..S",0.0705714285714286,0.0571428571428571,0.0825396825396825
"76","Striped searobin..M",0.0702539682539682,0.0571428571428571,0.0825396825396825
"77","Atlantic herring..L",0.0702222222222222,0.0603174603174603,0.0793650793650794
"78","Northern searobin..S",0.0697777777777778,0.0571428571428571,0.0857142857142857
"79","Atlantic cod..S",0.0696825396825397,0.053968253968254,0.0825396825396825
"80","Sea raven..L",0.0690793650793651,0.053968253968254,0.0825396825396825
"81","Blackbelly rosefish..S",0.0682539682539683,0.053968253968254,0.0825396825396825
"82","Butterfish..S",0.068,0.0571428571428571,0.0793650793650794
"83","Fourspot flounder..S",0.0677777777777778,0.053968253968254,0.0793650793650794
"84","Northern kingfish..M",0.0677142857142857,0.0571428571428571,0.0793650793650794
"85","Fawn cusk-eel..M",0.0676825396825397,0.053968253968254,0.0793650793650794
"86","Smooth skate..M",0.0674603174603175,0.053968253968254,0.0857142857142857
"87","Ocean pout..S",0.0672698412698413,0.053968253968254,0.0793650793650794
"88","Red hake..S",0.0672063492063492,0.053968253968254,0.0793650793650794
"89","Atlantic mackerel..S",0.0663492063492064,0.053968253968254,0.0793650793650794
"90","Pollock..S",0.0662222222222222,0.053968253968254,0.0857142857142857
"91","Silver hake..M",0.0661587301587302,0.0507936507936508,0.0825396825396825
"92","Little skate..S",0.0659365079365079,0.053968253968254,0.0793650793650794
"93","Striped searobin..S",0.0659365079365079,0.053968253968254,0.0761904761904762
"94","Offshore hake..M",0.0658095238095238,0.0507936507936508,0.0793650793650794
"95","Barndoor skate..M",0.0653650793650794,0.0476190476190476,0.0793650793650794
"96","Winter skate..S",0.0652698412698413,0.0476190476190476,0.0793650793650794
"97","Fourspot flounder..L",0.0651111111111111,0.053968253968254,0.073015873015873
"98","Rosette skate..S",0.064984126984127,0.053968253968254,0.0761904761904762
"99","American plaice..M",0.0639365079365079,0.0476190476190476,0.0793650793650794
"100","Cusk..L",0.0638095238095238,0.0571428571428571,0.0666666666666667
"101","Atlantic herring..M",0.0632063492063492,0.0507936507936508,0.0761904761904762
"102","White hake..S",0.0626666666666667,0.0476190476190476,0.0761904761904762
"103","Windowpane..S",0.0616190476190476,0.0476190476190476,0.0761904761904762
"104","Bluefish..S",0.0614920634920635,0.0476190476190476,0.0761904761904762
"105","Witch flounder..L",0.0614603174603175,0.0507936507936508,0.0761904761904762
"106","Winter flounder..S",0.0611746031746032,0.0476190476190476,0.073015873015873
"107","Ocean pout..L",0.0595238095238095,0.0444444444444444,0.073015873015873
"108","Gulf stream flounder..S",0.0591746031746032,0.0476190476190476,0.0698412698412698
"109","Butterfish..XS",0.0571111111111111,0.0444444444444444,0.0698412698412698
"110","Smooth skate..S",0.0571111111111111,0.0476190476190476,0.0666666666666667
"111","Silver hake..S",0.0552698412698413,0.0444444444444444,0.0666666666666667
"112","Fawn cusk-eel..S",0.0547619047619048,0.0444444444444444,0.0666666666666667
"113","Fourbeard rockling..S",0.0545079365079365,0.0380952380952381,0.0666666666666667
"114","American plaice..S",0.052952380952381,0.0380952380952381,0.0634920634920635
"115","Buckler dory..M",0.0516190476190476,0.0380952380952381,0.0666666666666667
"116","Witch flounder..M",0.0502857142857143,0.0317460317460317,0.0634920634920635
"117","Fourbeard rockling..M",0.0498412698412698,0.0380952380952381,0.0603174603174603
"118","American plaice..L",0.0498095238095238,0.0380952380952381,0.0666666666666667
"119","Barndoor skate..S",0.0493650793650794,0.0412698412698413,0.0571428571428571
"120","Atlantic herring..S",0.0476825396825397,0.0349206349206349,0.0603174603174603
"121","Acadian redfish..M",0.0461587301587302,0.0380952380952381,0.0571428571428571
"122","Blueback herring..S",0.0440634920634921,0.0317460317460317,0.053968253968254
"123","American shad..S",0.044031746031746,0.0317460317460317,0.053968253968254
"124","American shad..L",0.0438095238095238,0.0349206349206349,0.053968253968254
"125","Northern sand lance..M",0.0435238095238095,0.0317460317460317,0.053968253968254
"126","Blueback herring..M",0.0427301587301587,0.0317460317460317,0.053968253968254
"127","Witch flounder..S",0.0423809523809524,0.0349206349206349,0.0507936507936508
"128","Acadian redfish..S",0.0422222222222222,0.0349206349206349,0.053968253968254
"129","Buckler dory..S",0.0400952380952381,0.0317460317460317,0.0476190476190476
"130","Blueback herring..XS",0.0397777777777778,0.0285714285714286,0.0476190476190476
"131","Offshore hake..S",0.0394603174603175,0.0317460317460317,0.0476190476190476
"132","American shad..M",0.0374285714285714,0.0285714285714286,0.0476190476190476
"133","Northern shortfin squid..M",0.0362222222222222,0.0253968253968254,0.0476190476190476
"134","Longfin squid..M",0.0351111111111111,0.0253968253968254,0.0476190476190476
"135","Longfin squid..S",0.0350793650793651,0.0222222222222222,0.0444444444444444
"136","Northern shortfin squid..S",0.0224126984126984,0.019047619047619,0.0253968253968254
