"","Acadian redfish..M","Acadian redfish..S","Alewife..M","American plaice..L","American plaice..M","American plaice..S","American shad..L","American shad..M","American shad..S","Atlantic cod..L","Atlantic cod..M","Atlantic cod..S","Atlantic cod..XL","Atlantic croaker..M","Atlantic croaker..S","Atlantic halibut..L","Atlantic halibut..M","Atlantic herring..L","Atlantic herring..M","Atlantic herring..S","Atlantic mackerel..L","Atlantic mackerel..M","Atlantic mackerel..S","Barndoor skate..L","Barndoor skate..M","Barndoor skate..S","Barndoor skate..XL","Black sea bass..M","Black sea bass..S","Blackbelly rosefish..M","Blackbelly rosefish..S","Blueback herring..M","Blueback herring..S","Blueback herring..XS","Bluefish..L","Bluefish..M","Bluefish..S","Buckler dory..M","Buckler dory..S","Butterfish..S","Butterfish..XS","Clearnose skate..L","Clearnose skate..M","Cunner..M","Cusk..L","Fawn cusk-eel..M","Fawn cusk-eel..S","Fourbeard rockling..M","Fourbeard rockling..S","Fourspot flounder..L","Fourspot flounder..M","Fourspot flounder..S","Goosefish..L","Goosefish..M","Goosefish..S","Goosefish..XL","Gulf stream flounder..S","Haddock..L","Haddock..M","Haddock..S","Little skate..M","Little skate..S","Longfin squid..M","Longfin squid..S","Longhorn sculpin..M","Longhorn sculpin..S","Northern kingfish..M","Northern sand lance..M","Northern searobin..M","Northern searobin..S","Northern shortfin squid..M","Northern shortfin squid..S","Ocean pout..L","Ocean pout..M","Ocean pout..S","Offshore hake..M","Offshore hake..S","Pollock..L","Pollock..M","Pollock..S","Pollock..XL","Red hake..L","Red hake..M","Red hake..S","Rosette skate..M","Rosette skate..S","Scup..M","Scup..S","Sea raven..L","Sea raven..M","Sea raven..S","Silver hake..L","Silver hake..M","Silver hake..S","Smooth dogfish..L","Smooth dogfish..M","Smooth skate..M","Smooth skate..S","Spiny dogfish..L","Spiny dogfish..M","Spiny dogfish..S","Spot..S","Spotted hake..M","Spotted hake..S","Striped bass..L","Striped bass..M","Striped searobin..L","Striped searobin..M","Striped searobin..S","Summer flounder..L","Summer flounder..M","Summer flounder..S","Thorny skate..L","Thorny skate..M","Thorny skate..S","Thorny skate..XL","Weakfish..M","Weakfish..S","White hake..L","White hake..M","White hake..S","Windowpane..M","Windowpane..S","Winter flounder..L","Winter flounder..M","Winter flounder..S","Winter skate..L","Winter skate..M","Winter skate..S","Winter skate..XL","Witch flounder..L","Witch flounder..M","Witch flounder..S","Yellowtail flounder..L","Yellowtail flounder..M","Yellowtail flounder..S"
"Acadian redfish..M",0,0.789950214873236,0.273091820686583,0.0144386539658078,0.148082220035576,0.124092933664601,0.243154150571801,0.405007527670167,0.469993157315812,0.205570891558343,0.308681259772122,0.315637000416422,0.183619430377305,0.086054544880236,0.164331883689162,0.156337010846769,0.333882434149351,0.361365737154474,0.341641597757784,0.25718712114062,0.15429582680375,0.355570807070532,0.427755964649033,0.281798927776547,0.280726066082137,0.163232523391619,0.221526394071635,0.0706839782502342,0.109199499114723,0.275426976523127,0.831319699683611,0.0860650585820413,0.180320527901398,0.191774337129343,0.136874465408115,0.143397074288691,0.130024019688353,0.201014241180737,0.428077499785592,0.220176541292369,0.148679552633175,0.143302823042844,0.170557173381203,0.0991723645396358,0.204184187899842,0.108895883319936,0.0812339578714608,0.480545448279736,0.541184464649452,0.103953546439378,0.312388139847668,0.356819253675845,0.175083358650022,0.178531159511555,0.186165464653163,0.15171948476635,0.0727577200090957,0.199906643678358,0.165718897316316,0.409237731780927,0.0947980852051075,0.0630891320629882,0.211327855656861,0.213240532399802,0.154129687108861,0.240270887914717,0.0369394155352878,0.0281268962785263,0.183815179236949,0.164341402139835,0.118769534073692,0.235307124580443,0.0069296252470149,0.010273951403112,0.0322542599159019,0.36184349413845,0.53146388683353,0.56574362820557,0.800177414618379,0.604380207280852,0.35195281208154,0.32537218318306,0.548241548136807,0.531619899532564,0.218127656700554,0.112310128517076,0.0290881024441322,0.054977378254804,0.124157231915179,0.167133437886671,0.212334462975197,0.179240456965779,0.367024676674053,0.825345883808847,0.100489269469988,0.094468405424095,0.590605086447362,0.532434240614814,0.165954606553472,0.173514023857791,0.290545254658036,0.049060178116982,0.185948806362715,0.410507870114997,0.128361523181582,0.0416706319620711,0.203301440175881,0.24908997507108,0.202888363356752,0.153951699068746,0.162716430307205,0.20982389548219,0.240120104426924,0.281139744357478,0.286401107303193,0.223797524452941,0.15454669486674,0.217875096200097,0.236912337612967,0.510414678077927,0.567014000505666,0.280652196877813,0.177588237472534,0.0106918759938468,0.0243679918399238,0.0229763030531427,0.150090833521998,0.0947823879003359,0.0427874459390335,0.17295209855801,0.0244803357074943,0.0572533326170569,0.0465233300168508,0.0172199726706382,0.0379782914637145,0.0748624458495821
"Acadian redfish..S",0.789950214873236,0,0.305358648179476,0.0145141937202165,0.137034155723255,0.069207521026601,0.254275402627881,0.423124941569314,0.493022546785477,0.0364033548455639,0.144338533474304,0.291459546278878,0.0159540245902883,0.011922876736171,0.079513635172813,0.0207588965362759,0.214454640297621,0.27786125032867,0.357173641737892,0.31169691153034,0.205162194584618,0.205059689634275,0.454224087040384,0.112319700103429,0.267936589234859,0.161629710848065,0.0536072665769991,0.029251250226944,0.0992231323381189,0.154448691041877,0.692942664242515,0.121363704688068,0.219058377646552,0.230936486333787,0.00341405852627452,0.00489286354199459,0.00804471266759887,0.0436317532214645,0.342505511268155,0.237542894829735,0.200607311059827,0.0242660215696425,0.062134006530052,0.127042351247763,0.036410065923364,0.108934178780196,0.0921225891495936,0.501181865110683,0.572272944740911,0.00935334426144085,0.149145347538192,0.245990999274928,0.0074404404529228,0.0109964890601378,0.0166330822267108,0.00593291173096488,0.0804450292044655,0.0642678029811679,0.139041541280728,0.426091135492291,0.0578088485709661,0.0627497522349663,0.071867103261571,0.121519312377251,0.0870747946614341,0.177830413282076,0.0193328745105464,0.0348245014722435,0.144520116124912,0.150433493810933,0.0594531712130567,0.147418762921494,0.00418029816512411,0.00779705629740146,0.0509416822932769,0.284995758984441,0.488733249720455,0.393679468805727,0.650702607975215,0.626816343914691,0.187143958120422,0.156944886189998,0.403153406253641,0.496664767391566,0.20549844889485,0.119421938547206,0.0164988012985846,0.0792330177503772,0.00545969399460378,0.0124302934580434,0.0627381705433696,0.00917701255365577,0.198703862405214,0.72877171110051,0.023724605320359,0.0632097188740598,0.503734458151621,0.521130483912141,0.0154073032691266,0.042843502364128,0.236275674810919,0.0486942210256021,0.06122575964538,0.296859943738819,0.00641260947063227,0.00669365525931764,0.0841666317500731,0.129100909463143,0.126385446611964,0.00653611905573892,0.0376079569898086,0.0993531545282773,0.111852602322064,0.231945380644069,0.280270022413181,0.0636336423949583,0.0388548941979929,0.118689241865697,0.0690454785222091,0.358964772821275,0.541093235197951,0.190010469733333,0.18341984184947,0.00779911925088306,0.0208772953126699,0.0201417123641707,0.0219182219981623,0.0543502960175419,0.0445768627723967,0.0131075888997737,0.0216510937530537,0.0446762578941453,0.0507612361202693,0.0150026653534363,0.0383561886272524,0.0985488052950239
"Alewife..M",0.273091820686583,0.305358648179476,0,0.0119963614741567,0.0590773648285357,0.0576037719813727,0.497479725201371,0.597002092609782,0.590784702644468,0.256045320227294,0.242272348293103,0.246783029119911,0.0384643325628726,0.0577643809782592,0.0557692557564444,0.0203678580857498,0.0209270232184049,0.369374648218921,0.6007848234714,0.506472805892907,0.675520684634823,0.518804105434924,0.575212964616777,0.0585830181210785,0.167347491653867,0.139186146285471,0.0261030128088789,0.0378610609429912,0.0655983366446713,0.0424024264253282,0.272385327808622,0.403518526194543,0.484968759948059,0.408495493825842,0.0630538565959132,0.0360639258312724,0.0469035473874766,0.0336338834625381,0.176754319028003,0.126049295509571,0.184156112048647,0.0659375331216094,0.101627420895782,0.0486583159197251,0.0171109013882342,0.143281720320984,0.0958982050437239,0.371471337966951,0.321618773997173,0.0203100571493947,0.0923554005640509,0.203881325150947,0.0078938898329034,0.0149274051658788,0.0172645142306455,0.00849328524797366,0.119582318818085,0.169123595382494,0.22932868365977,0.415076992357527,0.14312591429874,0.170650190906581,0.0747156181550277,0.126712941949223,0.282899708728587,0.327625339154127,0.0872368842199327,0.352184432448827,0.206333506276386,0.173037525131293,0.0563027014989368,0.0450791706237721,0.00540833381070394,0.0189000150521089,0.052303653394137,0.0905222914023879,0.270865653685281,0.163474566355082,0.286781856951833,0.330953720027491,0.0764661693183837,0.0921838319911977,0.244143163132387,0.360856467952415,0.194133552713714,0.199965245702655,0.0242525383893811,0.102835948593582,0.00921226154528254,0.0162944711323473,0.0788228115561994,0.0119743464416691,0.116884529589,0.361053475986436,0.0346529841274795,0.0724729191507124,0.221422971164258,0.390850171795444,0.0312078111947997,0.0620376273815691,0.155810254609436,0.0806493200990271,0.0738772257817377,0.334906356290509,0.0331524642554212,0.103315148086276,0.155901962170748,0.196462780805857,0.273110663580384,0.0343106949664016,0.111539029508868,0.151330052575602,0.0567586894200049,0.154706379180223,0.232968772696565,0.0289906745108652,0.0630730808576947,0.149871979853548,0.0329746010692165,0.143567807188619,0.341714201414405,0.285611602914449,0.249989345073602,0.0211186112268764,0.0404885339986849,0.0388729511460663,0.266885712781343,0.279560618992448,0.141008370236294,0.209569002175234,0.0320844712776488,0.0406114308668054,0.0553258929381014,0.249184397692614,0.127555419415726,0.16164760145062
"American plaice..L",0.0144386539658078,0.0145141937202165,0.0119963614741567,0,0.747932164202812,0.557770131521526,0.0141935945210816,0.0163145797083895,0.0170392542446253,0.069680962187044,0.153469495715579,0.146304505361746,0.0413679531113993,0.144703928383115,0.142036464614623,0.0153031396736292,0.0277294001367372,0.0108143757556983,0.0189490469937599,0.0168775909718857,0.0116360879862397,0.0196090346818345,0.0150942704018676,0.0241409213209756,0.0318010112194574,0.0252651893136022,0.0250834002203457,0.0912853531739778,0.101820554123287,0.0358628324726883,0.0595415907370049,0.0116960724881784,0.0164903953140386,0.0166943585701629,0.0028961643484009,0.00422667864516546,0.00183642284350549,0.00919703944956918,0.00884722288081652,0.0253820566459702,0.02326068053861,0.0307759273153834,0.0635882517994691,0.211483795058169,0.020001611348953,0.313629029076987,0.331941281194749,0.0539967866014628,0.0636359353575581,0.0116305704203336,0.0421614951642594,0.0492100829940043,0.0057978923102121,0.00610595252891744,0.0133391908352263,0.00377626597491831,0.122868844791457,0.295083821887512,0.344348186452255,0.136154028555326,0.130104035217472,0.0520989967876853,0.00834974493837537,0.0120395990670851,0.109981398110899,0.0671469612035447,0.0336949368340663,0.0018239852348686,0.136001223937084,0.141931579815629,0.00353018911971115,0.0073400030275379,0.122976837942161,0.184937792849624,0.579830920673824,0.018971725028002,0.0159851570763024,0.01714606993329,0.0176092787800092,0.022827749307709,0.014788465357278,0.099324552126107,0.0647996018399638,0.0535110706093667,0.0534912106345177,0.051078192884487,0.0743916659511346,0.0869672028962712,0.00493253494118828,0.0167092935496312,0.0225303882730895,0.00834200167834109,0.016705667321752,0.017716875355,0.0664432601859232,0.126781128143373,0.0376719425845552,0.0517251510952055,0.0536014942043987,0.0827202070480876,0.0353582774925216,0.0596539678043022,0.0304328689177523,0.0364257915769822,0.013343444941062,0.0220148728164425,0.0266110274642907,0.0528492383975164,0.0292777475938306,0.0106287860295363,0.0222858067341863,0.0207584825845315,0.0624041651907884,0.0606573669998468,0.0575939668925616,0.0650519592371133,0.0125598283130599,0.0236774138452168,0.0192552606457097,0.0283156531973526,0.0269642664682457,0.0303264217486218,0.0328101408342829,0.0845640243495244,0.111118819305873,0.0517220147898007,0.145142820734758,0.106191663971368,0.0443189001714813,0.156125372317626,0.123678268256301,0.114913230756499,0.0598198488341783,0.123203177741365,0.102377863970657,0.143631591294577
"American plaice..M",0.148082220035576,0.137034155723255,0.0590773648285357,0.747932164202812,0,0.653356052209216,0.089729768467731,0.0850403564022602,0.12861859659189,0.113484456996077,0.260734185365482,0.334114353201511,0.0684558792630843,0.193605318167073,0.232906961934238,0.0413426229125532,0.130454092339652,0.058202989388951,0.142672097193079,0.115077092600121,0.0363087290673776,0.0707673119749992,0.113881870724845,0.113906306217747,0.148709821903053,0.0813411993048482,0.0717362973233092,0.112046085428057,0.151999975209218,0.100347810621921,0.1831647601926,0.0590618335109783,0.0801231554622938,0.0591583395295244,0.0206228855952745,0.0231438569735478,0.0162611240773176,0.0520723026448695,0.0517412294601193,0.0752293113896932,0.0712580195034009,0.0500365940620848,0.114333384988203,0.234988637848386,0.0518875250655809,0.43699864173787,0.456721053469672,0.224242712968555,0.20505524487471,0.0160942738152379,0.16880549375103,0.194678700261258,0.0286451592979847,0.028932659501719,0.0365875993553397,0.0256061607158549,0.24816325524408,0.410669532979422,0.497043368749589,0.271476729031711,0.236915571583185,0.158949560524156,0.0366566901781711,0.0310214697024055,0.181179436404982,0.207270318819703,0.135830164126394,0.017651524530132,0.245096487923533,0.266942381025242,0.0245393633575404,0.0370096548765975,0.0903537423594013,0.146023022398125,0.588761559807023,0.141065377367704,0.122813997612521,0.146389755161945,0.0957196845271792,0.153341240306688,0.106980895346544,0.189865434447609,0.212945822617964,0.203745700251151,0.22471158990476,0.203727686788258,0.173783571308243,0.207764086358057,0.0129279227138543,0.0363960037561539,0.0870100311200773,0.0271157092850067,0.124169040234467,0.166564729979135,0.0817556981978006,0.130887726447968,0.17207594279122,0.161245532206645,0.0781791093233499,0.119323115481433,0.101600172156917,0.199296017369517,0.0751739438704697,0.144488202525974,0.0300259332000703,0.0404631399086866,0.068189617587001,0.134349385631547,0.102030493314314,0.0278396969545983,0.0587579041052919,0.0967582921636463,0.235451119945594,0.259497337742101,0.223986140311137,0.174102568414341,0.0541188737813443,0.0995619026180746,0.0841892617839454,0.159009118978159,0.174495864955079,0.15134654478543,0.12864673835245,0.189050856738718,0.219376037004732,0.161778625176186,0.214471239554411,0.23334006309758,0.104140906708024,0.147558503347313,0.223159777818225,0.23944186263483,0.184675478291561,0.19803539664531,0.218126828032707,0.298513475667677
"American plaice..S",0.124092933664601,0.069207521026601,0.0576037719813727,0.557770131521526,0.653356052209216,0,0.0807648521496435,0.0714359273370274,0.0844152558327153,0.124178088332701,0.212259618647679,0.265693083719039,0.135786340287827,0.319277870796876,0.348995317188706,0.0393837472089893,0.0600153346255442,0.0700936295715424,0.106789381954343,0.0892090496457796,0.0614849167175813,0.134656091166875,0.0739314798322631,0.122757839357228,0.10530489701673,0.0942858389473288,0.10660532387447,0.103582312463252,0.133080745720846,0.0933070533678046,0.191096855060277,0.0722723747230835,0.0877181247010297,0.0663699758266109,0.0269348074924505,0.0254877614950463,0.0127876751733563,0.0792987518438872,0.0576731992161116,0.0790054987558331,0.0532349996822652,0.0413114678854312,0.113143551818844,0.172328339478432,0.0818798086335015,0.556792311742959,0.563694972538548,0.331677496280905,0.342099701651237,0.010733419181846,0.130228655327979,0.130401862640398,0.0992535432479028,0.127716399461165,0.137631116319117,0.0427708231520699,0.358130729210659,0.410203760877522,0.458115244197094,0.243492937256279,0.266391873292655,0.158208154041047,0.061079857915502,0.0410530308345169,0.161144195431042,0.126782535077555,0.258504875350582,0.0132740417295478,0.387300498545928,0.334361081184631,0.0258268981347851,0.0283565437191604,0.0688778269808226,0.124118427747474,0.580142175372229,0.0909049322094505,0.0688943547537327,0.185928731296729,0.108959984359722,0.103401823153182,0.211298197098715,0.304615449121209,0.277825700297954,0.14422364546232,0.31051714581524,0.233502724728347,0.198464618660585,0.320955214001422,0.00624556718619695,0.0596788315318992,0.0861514761545452,0.164082122215859,0.232451354963407,0.141568073254796,0.0707115529777025,0.146270876566253,0.13770973311734,0.137875369761319,0.0876112611999077,0.112732592110219,0.0983660621877936,0.266736213230371,0.0834651295437994,0.112619295760711,0.0392049886578618,0.0463071053070614,0.0497443910343348,0.107938400381048,0.0994386600851688,0.0400800598440493,0.0489640540195646,0.0764761921706297,0.309751758599163,0.334823139853973,0.330296090209206,0.184310548885857,0.0456370720721644,0.0861594412496571,0.206649235284791,0.242637132914586,0.113740841450638,0.128340397480031,0.114883479736477,0.293741595231061,0.331660614169437,0.281924841261506,0.263099683727047,0.287354008635453,0.115252617865234,0.183785597639236,0.337356137849791,0.359206767680025,0.301658626538856,0.333301357425169,0.325850089260779,0.394972732926626
"American shad..L",0.243154150571801,0.254275402627881,0.497479725201371,0.0141935945210816,0.089729768467731,0.0807648521496435,0,0.683494181347989,0.706916968868544,0.0326914006294314,0.092582930764827,0.175559784356122,0.0107508018353071,0.022781517772374,0.0971601308223309,0.0157990199771916,0.066118793747758,0.309179073133623,0.637991309332663,0.650266206765478,0.428638625723071,0.459314190348451,0.470495151629375,0.0849453172304107,0.119581574177056,0.111049254723575,0.0461909911352445,0.0385516771972189,0.0570586307170897,0.085770976504146,0.234387773461443,0.78040091879538,0.796601830365046,0.546429346542004,0.00310434417175276,0.00436214091168263,0.0101203277447965,0.0410589368655589,0.204875493740486,0.114266839373872,0.142504799072898,0.0225382537151777,0.0645733689440698,0.0450805024406097,0.0307662869578004,0.0888558096788707,0.0870328031755719,0.251506487712829,0.241285698930544,0.00749183439081491,0.0969183922992679,0.134910160068342,0.0026426300439194,0.00599623199938082,0.0138828247873193,0.00121507310219116,0.0569662690587098,0.0697078711084939,0.119569795292403,0.243070574694834,0.0642635119718843,0.0624513307091169,0.064625719078748,0.0897264746345788,0.0678875569497083,0.110110398802216,0.0274655592952772,0.710235262097741,0.177266830397219,0.157258449989914,0.0250395276080916,0.0499157233989559,0.0162756829041953,0.0195056352467897,0.0402427319765244,0.112137541082799,0.233729308633147,0.185276686015177,0.230539517783145,0.264879541631856,0.0905150746028088,0.109837972397677,0.238193637634902,0.268588639935635,0.158570720243279,0.13452935816464,0.0580248305648298,0.0693576122751829,0.00344392417364769,0.00855409753047554,0.0450478045908922,0.00724934187724247,0.152172895004998,0.271799344551519,0.0157450841187833,0.0603841409218062,0.246330608607783,0.273359188450783,0.0142700538338147,0.043261281911136,0.196374180719405,0.0753146274079665,0.0647634792047463,0.259809192037034,0.0205952393386726,0.0224765684398115,0.067973958333137,0.125155546232323,0.117904558166488,0.00654997832029591,0.0438769424410527,0.102024268787323,0.07670582268884,0.159750788398748,0.219006861400947,0.0435840846505194,0.065869709234141,0.127059850459566,0.0550831098123422,0.176307555645683,0.270358101509975,0.175520377213742,0.16080252302591,0.0205278672787914,0.0379464660311957,0.032110090288175,0.0343331049276978,0.0611663069891877,0.0467866704272883,0.0120696388532755,0.0334327099301648,0.0557037049482997,0.0609086615228199,0.027266331825028,0.0498701433377964,0.0959223975201046
"American shad..M",0.405007527670167,0.423124941569314,0.597002092609782,0.0163145797083895,0.0850403564022602,0.0714359273370274,0.683494181347989,0,0.802673729411742,0.0264899705768623,0.0845971026199124,0.196652644866771,0.0124730094299532,0.0139139271455275,0.087141653441895,0.0107488103233021,0.0751137580275584,0.330112910657549,0.665194187174651,0.684278222603166,0.421404774472383,0.468255628541158,0.579368954516559,0.0815324366051706,0.123793488517805,0.116685324512521,0.0394379271295462,0.0286299241034297,0.0460599243824066,0.0945059828993242,0.397339412624259,0.538317478781917,0.628943084695754,0.574473502037567,0.00325890261803408,0.00458516469588832,0.00549002242663155,0.0427275034946861,0.224303649315973,0.142514963768972,0.176192313640505,0.0219242692600872,0.0629299481607186,0.0344721099412378,0.0338149598684357,0.0896382138909381,0.0955501017370234,0.411248792715784,0.418708277652736,0.00665134092107755,0.0969148365596227,0.154109457821498,0.00674237160299496,0.0079310125004789,0.0150381694005325,0.00344877700500035,0.0605337841832476,0.0743059255569414,0.114420309495166,0.389044536368799,0.059647003237307,0.0663683599107511,0.0732858545263646,0.0990559056450087,0.0531367549088791,0.113902593688863,0.0172702768228749,0.4683755799134,0.177192754055386,0.146910524529948,0.0348659547539784,0.071964574330087,0.00124926849527573,0.00443453623428813,0.0355402120040078,0.135620546461573,0.325808061254651,0.198544953067984,0.401237512318206,0.428501476774284,0.0969203023499127,0.110459145540314,0.243293455445415,0.307027821103688,0.166280004862875,0.152686904474913,0.0126523022940028,0.0677945474875264,0.00293466090081496,0.010533745176573,0.044111829474953,0.00890727770716915,0.151632493905607,0.449532637941842,0.0241070400455213,0.0757077639856742,0.260155561364445,0.366358348393589,0.0147340032423241,0.0414389775864014,0.197545527846367,0.085467585819229,0.0673287680012826,0.278369858291573,0.00282211201309113,0.00910546185398575,0.0791473803986292,0.143613832129372,0.112584257551143,0.00677227098440636,0.038941674823607,0.120889858550813,0.071433576232784,0.163082285230666,0.224304426767318,0.0367230935176829,0.0599610072345755,0.141823135798,0.0467939639478014,0.182381346508051,0.334655270852906,0.183670702371643,0.181736043983969,0.0939394610074979,0.10951326156942,0.0775921839114038,0.0233793049221814,0.0582765830291914,0.0518085126716337,0.0148226351069186,0.0265415814086529,0.0474025792180472,0.0540533817457471,0.0338622516094952,0.0464447757695826,0.107227257388604
"American shad..S",0.469993157315812,0.493022546785477,0.590784702644468,0.0170392542446253,0.12861859659189,0.0844152558327153,0.706916968868544,0.802673729411742,0,0.0369417640441486,0.133547590020541,0.282686651552062,0.0136218058503974,0.026087702791345,0.099369610673566,0.0207753533912696,0.136293654095683,0.336314591714184,0.711482538098511,0.739477121617936,0.449333323761655,0.476857064986831,0.594740871482211,0.109602244081559,0.257545218433403,0.17437294991786,0.046828733544882,0.0415994113500433,0.0789858660920718,0.109097291321726,0.459913374319074,0.550909287893577,0.66373494782891,0.646374933848742,0.00612597660292291,0.007170831290774,0.0123973081919442,0.0374109216879192,0.324798411290258,0.230778738588952,0.222394098103274,0.027374896647689,0.0748413740870504,0.0954297613461725,0.0324021260481659,0.101734177548819,0.102612723220256,0.418662937324419,0.366406754796155,0.0110648167267494,0.143301210051737,0.208257379885936,0.00215010755704248,0.0099602278870734,0.0159801061617179,0.00438779960121949,0.0769660686007356,0.0775578148631485,0.151971223234424,0.383517011913712,0.0707831838806116,0.0819235715032538,0.067879332045358,0.100383782019078,0.0896370014416275,0.166511156988062,0.0256340539168868,0.462835718608402,0.186715139614833,0.166556219815333,0.0362666584798923,0.125982139216833,0.0155813771103066,0.0211013604616758,0.0617612051541214,0.203324061970234,0.466566657222278,0.338630510981807,0.429103592836325,0.43071874176295,0.172560788240214,0.152333347501055,0.364957827159649,0.463091628764066,0.218858989350946,0.166025277786715,0.0336132609547604,0.0827778247402334,0.00441380162835669,0.0130763113715266,0.0638529149017815,0.00685686227624771,0.192210377059802,0.516287222030769,0.0247748559323246,0.0632748501851272,0.405990970745631,0.49934427093708,0.0178565535231577,0.0451814445289649,0.227767483067849,0.0964303376408225,0.0714351716521436,0.305863642406006,0.0208395224528295,0.0227073286998486,0.088542829734921,0.176032237845213,0.147899363610214,0.00818648948042278,0.045459362248395,0.129542825314649,0.100694390324045,0.224149102951851,0.28514226701732,0.0486761517768869,0.0736582887281206,0.157483448671334,0.0581838329154385,0.275459842495609,0.481765077207332,0.223944687068573,0.202119565497207,0.0250104678799306,0.0410552975147532,0.0414353250315606,0.0331825108740963,0.070992468613689,0.0661183795459306,0.0169132524130291,0.0355479331159765,0.0558130278582177,0.0642580343040273,0.0304162016722948,0.0552086692070649,0.140288715122599
"Atlantic cod..L",0.205570891558343,0.0364033548455639,0.256045320227294,0.069680962187044,0.113484456996077,0.124178088332701,0.0326914006294314,0.0264899705768623,0.0369417640441486,0,0.682544823281223,0.202060830615812,0.607122121623598,0.251348667080099,0.218878403107541,0.470753156336996,0.387640666374217,0.181954882942417,0.0730741553177342,0.0645982472464648,0.282447582462423,0.257723301493821,0.0377411915328589,0.378444526594259,0.221727776775439,0.0582310148228961,0.420900386329776,0.346157402174953,0.273114224381134,0.201688760743985,0.258053057837376,0.0204984277219475,0.0373378482816967,0.0200185672293784,0.333497273663474,0.291232997802277,0.200479564836037,0.23373757151897,0.0712343807000962,0.0641169263126344,0.0254007180290019,0.361823622027623,0.343249838551155,0.206493666872989,0.254323631271702,0.110278509210504,0.0637720940772242,0.0555985057825144,0.0579576361528115,0.134610945115923,0.347009566430609,0.266634907317993,0.305775309697008,0.328355365863955,0.315241823694117,0.331633373353318,0.110909816748559,0.471755490885532,0.383009574562117,0.141863088228241,0.260729869191273,0.095925826754804,0.186475052016405,0.177999967326223,0.573455819984408,0.531740367405908,0.145998517281466,0.012145278713713,0.25582303029007,0.206822602380914,0.100772264281705,0.16196754117159,0.146574038683507,0.180161724253915,0.116899206404851,0.147173939980379,0.0425843099509817,0.401304769653497,0.220667438506944,0.0681412007432961,0.408825493141944,0.415642623588264,0.355930210511246,0.121528141548546,0.190591604424662,0.107661101815853,0.111763361234529,0.157752191047485,0.252882136126251,0.383750669190278,0.350771239859037,0.387914637924522,0.42096896021816,0.161278780598829,0.280027430723003,0.241770746838535,0.188344801990179,0.072187159367326,0.459706040745108,0.435693091672519,0.110744222442654,0.0530458183600769,0.317452197664517,0.269828322216999,0.352817795807854,0.302580845868415,0.421760800817786,0.369141034103781,0.317366952088328,0.311171755786351,0.322886417753087,0.256065357813465,0.438845595647515,0.247506990332165,0.082565234381845,0.461156523591908,0.186467653392372,0.208148098592725,0.418897886538934,0.324809627708204,0.153733345995852,0.236363615371578,0.0696026743193328,0.100321472753217,0.0948672737701158,0.0825345585182587,0.602971774301338,0.335154922844839,0.0784976014179579,0.567536623952179,0.0868143178995409,0.0857425215791848,0.0513754550498642,0.2747127818856,0.140989278392537,0.146286195715137
