COMMON.NAME,SCIENTIFIC.NAME,ATLANTIC COD,BLUEFISH,SILVER HAKE,SPANISH MACKEREL,SPINY DOGFISH,SPOTTED SEATROUT,STRIPED BASS,SUMMER FLOUNDER,WEAKFISH,MONKFISH
bay anchovy,Anchoa mitchilli,,1378,85,19,131,1,101,504,345,2
unidentified fish,Actinopterygii,,959,308,30,957,8,76,1072,463,77
butterfish,Peprilus triacanthus,,356,23,,140,,42,159,31,17
striped anchovy,Anchoa hepsetus,,266,4,10,19,,9,18,31,2
longfin inshore squid,Loligo pealeii,,171,19,,320,,16,222,57,22
sand lances,Ammodytes spp.,,139,48,1,22,,34,93,44,
scup,Stenotomus chrysops,,108,21,,79,,50,335,48,25
unidentified squid,Teuthida,,95,26,,70,,4,120,62,4
anchovy (unidentified),Engraulidae,,61,5,2,2,,,9,9,1
common anchovies,Anchoa spp.,,52,8,,7,,3,33,21,
fish scales,fish scales,,42,2,,6,,1,16,9,
Atlantic menhaden,Brevoortia tyrannus,,36,,,412,1,49,2,26,11
crab megalopa,Decapoda (megalope),,29,,,,1,,2,6,
bluefish,Pomatomus saltatrix,,28,,,24,,7,9,2,
unidentified herring,Clupeidae,,26,18,1,47,,6,12,4,1
weakfish,Cynoscion regalis,,26,,,54,,6,80,43,4
unidentified material,unidentified material,,25,21,,100,1,3,57,17,1
codlings,Urophycis spp.,,16,30,,44,,5,212,29,8
round herring,Etrumeus teres,,15,1,,2,,3,9,,2
vegetation,Plantae,,13,,,4,,3,16,3,
silver hake,Merluccius bilinearis,,10,26,,22,,5,64,12,7
Atlantic moonfish,Selene setapinnis,,10,,,2,,2,2,6,
unidentified animal,unidentified animal,,10,11,,29,,3,17,6,4
larval fish,Actinopterygii (larval),,9,1,,,,,49,2,
unidentified cephalopoda,Cephalopoda,,8,1,,3,,,5,7,
silver anchovy,Engraulis eurystole,,8,,5,,,,,1,
Loligo squid,Loligo spp.,,8,,,2,,,9,6,
searobins (Prionotus spp.),Prionotus spp.,,8,,,12,,4,34,4,
stomatopod larva,Stomatopoda (larva),,8,,,,,,,3,
unidentified shrimp,Decapoda,,7,44,,22,2,,73,21,4
macro algae,macro algae,,7,,,3,,1,7,3,1
unidentified mollusc meat,Mollusca,,7,1,,102,,12,13,2,
rock,rock,,7,,,12,,8,29,1,1
Atlantic cutlassfish,Trichiurus lepturus,,7,,2,2,,,,,
silver perch,Bairdiella chrysoura,,6,,,7,,,16,11,1
black seabass,Centropristis striata,,6,6,,13,,1,32,2,
unidentified crab,Decapoda,1,6,,,53,,3,82,1,
bony fishes,Teleostei,,6,,2,,,,3,4,
trash,trash,,6,,,,,,,,
four-eyed amphipods (Ampelisca spp.),Ampelisca spp.,,5,159,,5,,1,21,13,
sand shrimp,Crangon septemspinosa,,5,494,,22,,18,598,125,6
unidentified crustacean,Crustacea,,5,6,,6,1,1,18,10,
kingfish (Menticirrhus spp.),Menticirrhus spp.,,5,,,12,,,19,4,2
mysid,Neomysis americana,,5,18,,,,,369,52,
"trash, plastic",plastic trash,,5,,,2,,,,,
unidentified polychaete,Polychaeta,,5,14,,54,,4,22,11,
