cruise,station,season,year,month,n.month,day,latitude,longitude,SST
NM070901,NM20070901001,FALL,2007,9,SEP,28,41.019,-71.824,18.19
NM070901,NM20070901002,FALL,2007,9,SEP,28,41.006,-71.969,18.99
NM070901,NM20070901003,FALL,2007,9,SEP,27,40.944,-72.145,
NM070901,NM20070901004,FALL,2007,9,SEP,27,40.953,-72.12,18.68
NM070901,NM20070901005,FALL,2007,9,SEP,28,40.961,-72.048,19.14
NM070901,NM20070901006,FALL,2007,9,SEP,27,40.939,-72.169,18.88
NM070901,NM20070901007,FALL,2007,9,SEP,27,40.939,-72.108,19.02
NM070901,NM20070901008,FALL,2007,9,SEP,27,40.835,-72.44,18.74
NM070901,NM20070901009,FALL,2007,10,OCT,3,40.64,-73.111,20.22
NM070901,NM20070901010,FALL,2007,9,SEP,27,40.784,-72.591,19.1
NM070901,NM20070901011,FALL,2007,10,OCT,3,40.63,-73.106,20.22
NM070901,NM20070901012,FALL,2007,9,SEP,27,40.79966667,-72.52933333,18.9
NM070901,NM20070901013,FALL,2007,10,OCT,3,40.606,-73.38516667,20.3
NM070901,NM20070901014,FALL,2007,10,OCT,3,40.55333333,-73.61166667,21.15
NM070901,NM20070901015,FALL,2007,10,OCT,3,40.5815,-73.38233333,19.85
NM070901,NM20070901016,FALL,2007,10,OCT,3,40.552,-73.3935,20.45
NM070901,NM20070901017,FALL,2007,10,OCT,3,40.50433333,-73.629,21.02
NM070901,NM20070901018,FALL,2007,10,OCT,4,40.52066667,-73.91566667,19.96
NM070901,NM20070901019,FALL,2007,10,OCT,4,40.4445,-73.95133333,20.22
NM070901,NM20070901020,FALL,2007,10,OCT,4,40.54533333,-73.733,20.49
NM070901,NM20070901021,FALL,2007,10,OCT,4,40.49833333,-73.8575,20.09
NM070901,NM20070901022,FALL,2007,10,OCT,4,40.22466667,-73.95283333,20.8
NM070901,NM20070901023,FALL,2007,10,OCT,5,39.79883333,-74.07366667,20.26
NM070901,NM20070901024,FALL,2007,10,OCT,5,39.738,-74.09466667,20.69
NM070901,NM20070901025,FALL,2007,10,OCT,4,39.81433333,-74.03033333,20.26
NM070901,NM20070901026,FALL,2007,10,OCT,4,40.043,-74.0095,21.1
NM070901,NM20070901027,FALL,2007,10,OCT,4,40.14566667,-73.96533333,21.33
NM070901,NM20070901028,FALL,2007,10,OCT,5,39.5965,-74.176,21.8
NM070901,NM20070901029,FALL,2007,10,OCT,5,39.57466667,-74.1955,21.5
NM070901,NM20070901030,FALL,2007,10,OCT,5,39.26866667,-74.52733333,21.91
NM070901,NM20070901031,FALL,2007,10,OCT,6,39.20283333,-74.625,21.94
NM070901,NM20070901032,FALL,2007,10,OCT,5,39.55516667,-74.06516667,20.86
NM070901,NM20070901033,FALL,2007,10,OCT,5,39.247,-74.32666667,22.07
NM070901,NM20070901034,FALL,2007,10,OCT,5,39.28366667,-74.40433333,22.08
NM070901,NM20070901035,FALL,2007,10,OCT,6,39.21916667,-74.52566667,21.65
NM070901,NM20070901036,FALL,2007,10,OCT,6,39.183,-74.57016667,21.69
NM070901,NM20070901037,FALL,2007,10,OCT,5,39.57133333,-74.09966667,21.17
NM070901,NM20070901038,FALL,2007,10,OCT,6,38.972,-74.6435,21.96
NM070901,NM20070901039,FALL,2007,10,OCT,6,39.05183333,-74.70983333,22.95
NM070901,NM20070901040,FALL,2007,10,OCT,6,39.04133333,-74.64583333,22.53
NM070901,NM20070901041,FALL,2007,10,OCT,6,39.09866667,-74.6475,22.37
NM070901,NM20070901042,FALL,2007,10,OCT,7,38.999,-74.72816667,21.38
NM070901,NM20070901043,FALL,2007,10,OCT,6,38.90966667,-74.703,22.23
NM070901,NM20070901044,FALL,2007,10,OCT,6,38.92016667,-74.75066667,21.81
NM070901,NM20070901045,FALL,2007,10,OCT,7,38.97633333,-74.77316667,21.92
NM070901,NM20070901046,FALL,2007,10,OCT,6,39.17383333,-74.527,21.47
NM070901,NM20070901047,FALL,2007,10,OCT,8,38.8695,-74.84416667,21.13
NM070901,NM20070901048,FALL,2007,10,OCT,8,38.906,-74.85283333,21.65
NM070901,NM20070901049,FALL,2007,10,OCT,7,38.85016667,-74.909,21.99
NM070901,NM20070901050,FALL,2007,10,OCT,7,38.87683333,-74.88966667,21.85
NM070901,NM20070901051,FALL,2007,10,OCT,9,38.47266667,-74.9425,22.33
NM070901,NM20070901052,FALL,2007,10,OCT,7,38.6835,-74.7475,22.64
NM070901,NM20070901053,FALL,2007,10,OCT,7,38.84883333,-74.77816667,21.53
NM070901,NM20070901054,FALL,2007,10,OCT,7,38.69633333,-74.82266667,22.54
NM070901,NM20070901055,FALL,2007,10,OCT,7,38.77266667,-74.80466667,21.83
NM070901,NM20070901056,FALL,2007,10,OCT,7,38.77933333,-74.904,22.33
NM070901,NM20070901057,FALL,2007,10,OCT,9,38.5215,-74.93433333,22.14
NM070901,NM20070901058,FALL,2007,10,OCT,7,38.81066667,-74.96066667,22.71
NM070901,NM20070901059,FALL,2007,10,OCT,9,38.3785,-75.03833333,24.09
NM070901,NM20070901060,FALL,2007,10,OCT,9,38.4005,-75.03066667,22.99
NM070901,NM20070901061,FALL,2007,10,OCT,9,38.41533333,-74.88783333,22.19
NM070901,NM20070901062,FALL,2007,10,OCT,9,38.37933333,-74.9455,24.33
NM070901,NM20070901063,FALL,2007,10,OCT,10,38.08683333,-75.00316667,22.26
