station,year,season,vimscode,workup,modalgrp,pannum,seqno,specimid,preyname,totpreywt,lengthcm,pisclen,expansion,depthm,lat,lon,bWT,bSA,bDO
NM20070901001,2007,FALL,0003,Full,2,9,1,6,Etrumeus teres,15.176,55.5,55.5,1,19.812,41.019,-71.824,17.01,31.26,7.16
NM20070901002,2007,FALL,0003,Full,0,9,2,2,Etrumeus teres,0.3305,63.3,63.3,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0003,Full,0,9,3,3,Stenotomus chrysops,1.633,46.8,46.8,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0003,Full,0,9,6,6,Anchoa mitchilli,0.4732,43.4,43.4,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0003,Full,0,9,7,7,Anchoa mitchilli,0.1022,44.2,44.2,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0003,Full,0,9,8,8,Anchoa mitchilli,0.0226,32.7,32.7,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0003,Full,0,9,9,9,Stenotomus chrysops,1.113,36.9,36.9,1,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0009,Full,0,9,2,1,Anchoa mitchilli,0.12,18.1,18.1,1.2,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901002,2007,FALL,0009,Full,0,9,6,5,Anchoa mitchilli,0.779,18.6,18.6,1.2,12.8016,41.006,-71.969,18.26,31.64,7.22
NM20070901003,2007,FALL,0003,Full,0,13,1,1,Stenotomus chrysops,1.3574,49.8,49.8,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,3,3,Peprilus triacanthus,0.9646,52.3,52.3,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,4,4,Stenotomus chrysops,0.724,34.7,34.7,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,7,6,Anchoa mitchilli,0.248,43.9,43.9,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,7,6,Loligo pealeii,0.7729,43.9,43.9,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,8,7,Loligo pealeii,8.2492,64.2,64.2,1,12.8016,40.944,-72.145,,,
NM20070901003,2007,FALL,0003,Full,0,13,8,7,Stenotomus chrysops,1.8895,64.2,64.2,1,12.8016,40.944,-72.145,,,
NM20070901004,2007,FALL,0003,Full,0,13,2,2,Anchoa mitchilli,2.4348,43.2,43.2,1,11.5824,40.953,-72.12,16.42,31.48,7.18
NM20070901004,2007,FALL,0003,Full,0,13,3,3,Anchoa mitchilli,1.8057,33.3,33.3,1,11.5824,40.953,-72.12,16.42,31.48,7.18
NM20070901004,2007,FALL,0003,Full,0,13,4,4,Anchoa mitchilli,6.31,57.4,57.4,1,11.5824,40.953,-72.12,16.42,31.48,7.18
NM20070901004,2007,FALL,0009,Full,0,13,2,2,Stenotomus chrysops,1.848,59.2,59.2,1,11.5824,40.953,-72.12,16.42,31.48,7.18
NM20070901005,2007,FALL,0003,Full,0,9,1,1,Stenotomus chrysops,0.8176,38.4,38.4,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0003,Full,0,9,2,2,Stenotomus chrysops,0.5012,45,45,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0003,Full,0,9,5,5,Stenotomus chrysops,1.5235,51.5,51.5,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0003,Full,0,9,6,6,Anchoa mitchilli,0.274,48.1,48.1,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0009,Full,0,9,2,2,Loligo pealeii,3.2,56.1,56.1,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0009,Full,0,9,3,3,Loligo pealeii,13.345,61.2,61.2,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0009,Full,0,9,4,4,Stenotomus chrysops,11.0555,64.4,64.4,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0009,Full,0,9,5,5,Loligo pealeii,7.2546,61,61,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901005,2007,FALL,0009,Full,0,9,6,6,Stenotomus chrysops,13.902,66.1,66.1,1,15.8496,40.961,-72.048,16.15,31.62,6.87
NM20070901006,2007,FALL,0003,Full,0,13,4,3,Etrumeus teres,2.8477,41.9,41.9,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901006,2007,FALL,0003,Full,0,13,6,5,Anchoa mitchilli,2.1774,47.3,47.3,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901006,2007,FALL,0031,Full,0,9,1,1,Anchoa mitchilli,1.6935,68.6,68.6,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901006,2007,FALL,0031,Full,0,9,1,1,Loligo pealeii,1.0575,68.6,68.6,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901006,2007,FALL,0031,Full,0,9,1,1,Stenotomus chrysops,2.795,68.6,68.6,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901006,2007,FALL,0163,Full,0,13,1,1,Stenotomus chrysops,2.172,99.16022412,99.16022412,1,10.9728,40.939,-72.169,16.1,31.2,7.52
NM20070901008,2007,FALL,0003,Full,2,13,2,2,Peprilus triacanthus,1.5937,43.7,43.7,2.333,12.8016,40.835,-72.44,15.05,31.02,6.5
NM20070901008,2007,FALL,0003,Full,2,13,2,2,Stenotomus chrysops,1.0638,43.7,43.7,2.333,12.8016,40.835,-72.44,15.05,31.02,6.5
NM20070901008,2007,FALL,0003,Full,3,13,3,6,Stenotomus chrysops,3.6562,58.1,58.1,1.25,12.8016,40.835,-72.44,15.05,31.02,6.5
NM20070901008,2007,FALL,0003,Full,3,13,4,7,Anchoa mitchilli,0.371,53.1,53.1,1.25,12.8016,40.835,-72.44,15.05,31.02,6.5
NM20070901009,2007,FALL,0003,Full,1,2,2,2,Anchoa mitchilli,0.5205,26.8,26.8,1,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,2,2,1,5,Anchoa mitchilli,0.859,38.5,38.5,1,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,1,6,Loligo pealeii,17.654,44.9,44.9,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,3,8,Anchoa mitchilli,0.1756,49.6,49.6,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,5,10,Anchoa mitchilli,0.6568,42.6,42.6,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,6,11,Loligo pealeii,4.7699,47.1,47.1,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,7,12,Anchoa mitchilli,0.1696,53,53,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0003,Full,3,2,7,12,Loligo pealeii,24.6183,53,53,1.143,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,1,2,1,1,Anchoa mitchilli,0.3898,18.4,18.4,34.1968,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,1,2,2,2,Anchoa mitchilli,0.32,20.4,20.4,34.1968,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,1,2,3,3,Anchoa mitchilli,0.8271,13.9,13.9,34.1968,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,1,2,4,4,Anchoa mitchilli,1.051,17.8,17.8,34.1968,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,1,2,5,5,Anchoa mitchilli,0.6084,16.2,16.2,34.1968,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0007,Full,2,2,1,6,Anchoa mitchilli,10.7361,38,38,1,12.192,40.64,-73.111,18.97,30.89,7.4
NM20070901009,2007,FALL,0009,Full,2,2,2,2,Anchoa spp.,0.0849,20,20,1.8,12.192,40.64,-73.111,18.97,30.89,7.4
