"","prey","svspp","seacat","decade","meansw","num_tows","variance","cv","totwt","relmsw","ci","relci","nstom","collcat","collsci","collcom"
"1","ALOAES",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ALOAES","ALOSA AESTIVALIS","BLUEBACK HERRING"
"2","ALOPSE",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ALOPSE","ALOSA PSEUDOHARENGUS","ALEWIFE"
"3","AMMOSP",135,"FALL","1970s",0.0241910331384016,69,0.00062979810151351,1.03740003231953,9.81141149146602,0.246560172911338,0.00604235342150295,0.0615849557095694,341,"AMMOSP","AMMODYTES SP","SAND LANCES"
"4","AMPHIP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"AMPHIP","AMPHIPODA","AMPHIPODA"
"5","ANCHEP",135,"FALL","1970s",0.159485074569139,69,0.0185791165087673,0.854658238346061,9.81141149146602,1.62550591938641,0.0328184434791217,0.334492580478021,341,"ANCHEP","ANCHOA HEPSETUS","STRIPED ANCHOVY"
"6","ANCHSP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ANCHSP","ANCHOA SP",""
"7","ANCMIT",135,"FALL","1970s",0.0095906432748538,69,9.88073040939505e-05,1.03644625662908,9.81141149146602,0.0977498832170657,0.00239331562014297,0.0243931836130273,341,"ANCMIT","ANCHOA MITCHILLI","BAY ANCHOVY"
"8","ANTHOZ",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ANTHOZ","ANTHOZOA","CORALS, ANENOMES"
"9","AR",135,"FALL","1970s",0.00160713125406108,69,8.15105929574305e-07,0.561766295715296,9.81141149146602,0.0163802247562337,0.000217376442275794,0.00221554709498086,341,"AR","ANIMAL REMAINS","ANIMAL REMAINS"
"10","ARCISL",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ARCISL","ARCTICA ISLANDICA","OCEAN QUAHOG"
"11","ATHFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"ATHFAM","ATHERINIDAE","SILVERSIDES"
"12","BATFAM",135,"FALL","1970s",0.0149685256501688,69,0.000211879694533201,0.972446333445811,9.81141149146602,0.152562408203839,0.00350469411539786,0.0357205904415104,341,"BATFAM","BATRACHOIDIDAE","TOADFISHES"
"13","BIVALV",135,"FALL","1970s",2.92397660818713e-05,69,9.20111168442048e-10,1.03740003231953,9.81141149146602,0.000298017936637395,7.30340864806964e-06,7.44378997295359e-05,341,"BIVALV","BIVALVIA","CLAMS, MUSSELS"
"14","BOTFAM",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"BOTFAM","BOTHIDAE","LEFTEYE FLOUNDERS"
"15","BRETYR",135,"FALL","1970s",0.192940685045948,69,0.0392527345303501,1.02685977675589,9.81141149146602,1.96649264189733,0.0477024196696471,0.48619324254353,341,"BRETYR","BREVOORTIA TYRANNUS","ATLANTIC MENHADEN"
"16","CALSAP",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CALSAP","CALLINECTES SAPIDUS","BLUE CRAB"
"17","CANFAM",135,"FALL","1970s",0.00118908382066277,69,9.55917852911437e-07,0.822238515834953,9.81141149146602,0.0121193960899207,0.000235405029056328,0.00239929829934341,341,"CANFAM","CANCRIDAE","CANCER CRABS"
"18","CARCRY",135,"FALL","1970s",0,69,0,0,9.81141149146602,0,0,0,341,"CARCRY","CARANX CRYSOS","BLUE RUNNER"
