"guild","prey_taxa"
"crab_eater","AR"
"crab_eater","BIVALV"
"crab_eater","CANFAM"
"crab_eater","CEPHAL"
"crab_eater","DECCRA"
"crab_eater","ENGFAM"
"crab_eater","EUPFAM"
"crab_eater","UNIDFIS"
"crab_eater","OTHFIS"
"crab_eater","COPEPO"
"planktivore","AMMOSP"
"planktivore","AR"
"planktivore","CEPHAL"
"planktivore","CRUSTA"
"planktivore","CTENOP"
"planktivore","EUPFAM"
"planktivore","GAMMAR"
"planktivore","HYPFAM"
"planktivore","MYSIDA"
"planktivore","OTHFIS"
"planktivore","COPEPO"
"planktivore","OTHCRU"
"amphipod-and-shrimp","AMMOSP"
"amphipod-and-shrimp","AMPHIP"
"amphipod-and-shrimp","AR"
"amphipod-and-shrimp","CANFAM"
"amphipod-and-shrimp","CRAFAM"
"amphipod-and-shrimp","CRUSHR"
"amphipod-and-shrimp","CRUSTA"
"amphipod-and-shrimp","DECSHR"
"amphipod-and-shrimp","EUPFAM"
"amphipod-and-shrimp","GAMMAR"
"amphipod-and-shrimp","MYSIDA"
"amphipod-and-shrimp","PANFAM"
"amphipod-and-shrimp","POLYCH"
"amphipod-and-shrimp","COPEPO"
"benthivore","AMPHIP"
"benthivore","ANTHOZ"
"benthivore","AR"
"benthivore","BIVALV"
"benthivore","CRUSHR"
"benthivore","CRUSTA"
"benthivore","DECSHR"
"benthivore","ECHINO"
"benthivore","EUPFAM"
"benthivore","FISEGG"
"benthivore","GAMMAR"
"benthivore","ISOPOD"
"benthivore","MISC"
"benthivore","MOLLUS"
"benthivore","OPHIU1"
"benthivore","OTHINV"
"benthivore","POLYCH"
"benthivore","UNIDFIS"
"benthivore","COPEPO"
"shrimp-and-small_fish","AMMOSP"
"shrimp-and-small_fish","AMPHIP"
"shrimp-and-small_fish","AR"
"shrimp-and-small_fish","CLUFAM"
"shrimp-and-small_fish","CLUHAR"
"shrimp-and-small_fish","CRAFAM"
"shrimp-and-small_fish","CRUSHR"
"shrimp-and-small_fish","CRUSTA"
"shrimp-and-small_fish","EUPFAM"
"shrimp-and-small_fish","GADORD"
"shrimp-and-small_fish","GAMMAR"
"shrimp-and-small_fish","MERBIL"
"shrimp-and-small_fish","PANFAM"
"shrimp-and-small_fish","UNIDFIS"
"shrimp-and-small_fish","DECSHR"
"piscivore","AMMOSP"
"piscivore","AR"
"piscivore","CANFAM"
"piscivore","CEPHAL"
"piscivore","CLUFAM"
"piscivore","CLUHAR"
"piscivore","ENGFAM"
"piscivore","GADORD"
"piscivore","ILLESP"
"piscivore","ILLILL"
"piscivore","LOLPEA"
"piscivore","LOLISP"
"piscivore","MERBIL"
"piscivore","UROTEN"
"piscivore","UROREG"
"piscivore","UROCHU"
"piscivore","OTHFIS"
"piscivore","PANFAM"
"piscivore","PEPTRI"
"piscivore","PLEORD"
"piscivore","POLYCH"
"piscivore","SCOFAM"
"piscivore","UNIDFIS"
"piscivore","COPEPO"
