"Scientific name","Common name","collcat"
"Ammodytes spp.","Sand lance","AMMOSP"
"Amphipoda","Unclassified amphipods","AMPHIP"
"Anthozoa","Anemones","ANTHOZ"
"Animal remains","Unidentified animal remains","AR"
"Bivalvia","Bivalves","BIVALV"
"Cancridae","Cancer crabs","CANFAM"
"Cephalopoda","Unclassified cephalopods","CEPHAL"
"Clupeidae","Herrings","CLUFAM"
"Clupea harengus","Atlantic herring","CLUHAR"
"Cnidarians","Jellies and hydroids","CNIDAR"
"Cottidae","Sculpins","COTFAM"
"Crangonidae","Crangonid shrimps","CRAFAM"
"Crustacean shrimp","Unclassified shrimp","CRUSHR"
"Crustacea","Unclassified crustaceans","CRUSTA"
"Ctenophora","Comb-jellies","CTENOP"
"Decapoda crabs","Decapod crabs","DECCRA"
"Decapoda shrimp","Decapod shrimp","DECSHR"
"Echinodermata","Unclassified echinoderms","ECHINO"
"Engraulidae","Anchovies","ENGFAM"
"Euphausiidae","Euphausiid shrimp, krill","EUPFAM"
"Fish eggs","Fish eggs","FISEGG"
"Fish larvae","Fish larvae","FISLAR"
"Gadiformes","Gadid fish","GADORD"
"Gammaridae","Gammarid amphipods","GAMMAR"
"Gastropoda","Snails","GASTRO"
"Holothuroidea","Sea cucumbers","HOLOTH"
"Hydrozoa","Hydroids","HYDROZ"
"Hyperiidae","Hyperiid amphipods","HYPFAM"
"Illex spp.","Illex squid","ILLESP"
"Illex spp.","Illex squid","ILLILL"
"Isopoda","Isopods","ISOPOD"
"Lepophidium profundorum","Fawn cusk-eel","LEPPRO"
"Loligo spp.","Loligo squid","LOLPEA"
"Loligo spp.","Loligo squid","LOLISP"
"Macrozoarces americanus","Ocean pout","MACAME"
"Merluccius bilinearis","Silver hake","MERBIL"
"Miscellaneous","Inorganic material","MISC"
"Mollusca","Unclassified molluscs","MOLLUS"
"Mysidacea","Mysid shrimps","MYSIDA"
"Ophiuroidea","Brittle stars","OPHIU1"
"Other hakes","Red, white, and spotted hake","UROTEN"
"Other hakes","Red, white, and spotted hake","UROREG"
"Other hakes","Red, white, and spotted hake","UROCHU"
"Other","Unidentified organic material",NA
"Other fish","Other fish","OTHFIS"
"Other invertebrates","Other invertebrates","OTHINV"
"Paguroidea","Hermit crabs","DECCRA"
"Pandalidae","Pandalid shrimps","PANFAM"
"Peprilus triacanthus","Butterfish","PEPTRI"
"Pleuronectiformes","Flatfish","PLEORD"
"Polychaeta","Polychaete worms","POLYCH"
"Rajiformes","Rays, skates","RAJORD"
"Scombridae","Mackerels","SCOFAM"
"Unidentified fish","Unidentified fish remains","UNIDFIS"
"Worms","Assorted worms","WORMS"
"Zooplankton","Zooplankton","COPEPO"
