pdcomnam,sizecat,minlen,maxlen
,S,6,7
ACADIAN REDFISH,M,26,48
ACADIAN REDFISH,S,5,25
ALEWIFE,L,31,41
ALEWIFE,M,21,30
ALEWIFE,S,11,20
ALEWIFE,XS,7,10
ALLIGATORFISH,S,9,9
ALMACO JACK,L,94,94
AMERICAN PLAICE,L,41,70
AMERICAN PLAICE,M,21,40
AMERICAN PLAICE,S,4,20
AMERICAN SHAD,L,31,58
AMERICAN SHAD,M,21,30
AMERICAN SHAD,S,11,20
AMERICAN SHAD,XS,8,10
ARMORED SEAROBIN,L,31,32
ARMORED SEAROBIN,M,21,30
ARMORED SEAROBIN,S,7,20
ATLANTIC ANGEL SHARK,L,51,128
ATLANTIC ANGEL SHARK,M,26,50
ATLANTIC ARGENTINE,L,26,44
ATLANTIC ARGENTINE,M,16,25
ATLANTIC ARGENTINE,S,9,9
ATLANTIC BONITO,L,52,57
ATLANTIC BONITO,M,23,50
ATLANTIC BUMPER,S,16,16
ATLANTIC COD,L,51,80
ATLANTIC COD,M,21,50
ATLANTIC COD,S,1,20
ATLANTIC COD,XL,81,150
ATLANTIC CROAKER,L,82,82
ATLANTIC CROAKER,M,26,47
ATLANTIC CROAKER,S,9,25
ATLANTIC CUTLASSFISH,L,53,53
ATLANTIC CUTLASSFISH,M,44,49
ATLANTIC HAGFISH,L,55,55
ATLANTIC HAGFISH,M,33,43
ATLANTIC HALIBUT,L,61,90
ATLANTIC HALIBUT,M,31,60
ATLANTIC HALIBUT,S,13,30
ATLANTIC HALIBUT,XL,91,521
ATLANTIC HERRING,L,31,46
ATLANTIC HERRING,M,21,30
ATLANTIC HERRING,S,11,20
ATLANTIC HERRING,XS,3,10
ATLANTIC MACKEREL,L,36,160
ATLANTIC MACKEREL,M,21,35
ATLANTIC MACKEREL,S,11,20
ATLANTIC MACKEREL,XS,10,10
ATLANTIC MENHADEN,L,31,32
ATLANTIC MENHADEN,M,21,30
ATLANTIC MENHADEN,S,11,20
ATLANTIC MENHADEN,XS,6,10
ATLANTIC MIDSHIPMAN,S,14,14
ATLANTIC SALMON,M,34,34
ATLANTIC SAURY,M,32,32
ATLANTIC SHARPNOSE SHARK,L,51,154
ATLANTIC SHARPNOSE SHARK,M,34,50
ATLANTIC SOFT POUT,S,11,11
ATLANTIC SPADEFISH,M,38,45
ATLANTIC STINGRAY,L,77,77
ATLANTIC STURGEON,L,84,120
ATLANTIC TORPEDO,L,68,80
ATLANTIC TORPEDO,M,32,54
ATLANTIC TORPEDO,S,25,25
ATLANTIC TORPEDO,XL,82,125
ATLANTIC WOLFFISH,L,61,137
ATLANTIC WOLFFISH,M,31,60
ATLANTIC WOLFFISH,S,3,30
BANDED DRUM,S,14,20
BANDED RUDDERFISH,M,21,27
BANDED RUDDERFISH,S,18,20
BARNDOOR SKATE,L,61,80
BARNDOOR SKATE,M,31,60
BARNDOOR SKATE,S,17,30
BARNDOOR SKATE,XL,81,163
BEARDFISH,S,16,16
BIGEYE,M,22,39
BIGEYE,S,15,16
BIGEYE SCAD,S,13,15
BIGHEAD SEAROBIN,S,20,20
BLACK DRUM,L,108,115
BLACK SEA BASS,L,51,64
BLACK SEA BASS,M,26,50
BLACK SEA BASS,S,3,25
BLACKBELLY ROSEFISH,L,51,51
BLACKBELLY ROSEFISH,M,21,45
BLACKBELLY ROSEFISH,S,3,20
BLACKNOSE SHARK,L,104,104
BLACKTIP SHARK,L,138,138
BLUE RUNNER,S,15,15
BLUEBACK HERRING,M,21,29
BLUEBACK HERRING,S,11,20
BLUEBACK HERRING,XS,6,10
BLUEFISH,L,71,118
BLUEFISH,M,31,70
BLUEFISH,S,3,30
BLUELINE TILEFISH,L,58,73
BLUELINE TILEFISH,M,39,50
BLUESPOTTED SEAROBIN,S,16,16
BLUNTNOSE STINGRAY,L,51,128
BLUNTNOSE STINGRAY,M,21,50
BUCKLER DORY,L,51,69
BUCKLER DORY,M,21,50
BUCKLER DORY,S,4,20
BULLNOSE RAY,L,53,123
BULLNOSE RAY,M,26,49
BUTTERFISH,L,32,32
BUTTERFISH,M,21,27
BUTTERFISH,S,11,20
BUTTERFISH,XS,2,10
CAROLINA HAKE,M,28,28
CHAIN DOGFISH,M,37,45
CHAIN DOGFISH,S,15,35
CHUB MACKEREL,M,21,23
CHUB MACKEREL,S,14,20
CLEARNOSE SKATE,L,61,80
CLEARNOSE SKATE,M,31,60
CLEARNOSE SKATE,S,12,30
CLEARNOSE SKATE,XL,81,93
COBIA,L,58,125
CONEJO,M,25,25
CONGER EEL,L,54,109
CONGER EEL,M,39,48
CORNETFISH UNCL,M,32,32
COWNOSE RAY,L,52,53
COWNOSE RAY,M,40,49
CUNNER,M,21,47
CUNNER,S,4,20
CUSK,L,51,104
CUSK,M,21,50
CUSK,S,11,20
DAUBED SHANNY,S,11,13
DEEPBODY BOARFISH,S,12,19
DUSKY FLOUNDER,M,22,27
DUSKY FLOUNDER,S,17,17
DUSKY SHARK,L,53,212
DUSKY SHARK,M,49,49
FAWN CUSK-EEL,M,21,30
FAWN CUSK-EEL,S,7,20
FOURBEARD ROCKLING,M,21,37
FOURBEARD ROCKLING,S,8,20
FOURSPOT FLOUNDER,L,41,49
FOURSPOT FLOUNDER,M,21,40
FOURSPOT FLOUNDER,S,2,20
GAG,L,108,108
GOOSEFISH,L,61,90
GOOSEFISH,M,31,60
GOOSEFISH,S,5,30
GOOSEFISH,XL,91,124
GRAY TRIGGERFISH,L,57,57
GRAY TRIGGERFISH,S,10,10
GREATER AMBERJACK,L,98,114
GREATER AMBERJACK,M,21,26
GREENLAND HALIBUT,M,22,36
GREENLAND HALIBUT,S,15,15
GRENADIER UNCL,M,26,26
GULF STREAM FLOUNDER,S,2,20
HADDOCK,L,51,80
HADDOCK,M,21,50
HADDOCK,S,5,20
HADDOCK,XL,81,88
HICKORY SHAD,L,33,46
HICKORY SHAD,M,24,27
HOGCHOKER,M,27,28
HOGCHOKER,S,17,18
HOGFISH,L,55,59
HOOKEAR SCULPIN UNCL,S,4,8
HORNED SEAROBIN,S,5,5
INSHORE LIZARDFISH,M,21,35
INSHORE LIZARDFISH,S,16,20
KING MACKEREL,L,56,117
LANTERNFISH UNCL,S,4,10
LING UNCL,S,11,14
LITTLE SKATE,L,63,63
LITTLE SKATE,M,31,60
LITTLE SKATE,S,6,30
LONGFIN HAKE,M,21,35
LONGFIN HAKE,S,16,20
LONGFIN SQUID,L,31,70
LONGFIN SQUID,M,16,30
LONGFIN SQUID,S,1,15
LONGHORN SCULPIN,M,26,45
LONGHORN SCULPIN,S,3,25
LONGNOSE GRENADIER,M,23,23
LONGNOSE GRENADIER,S,10,19
LONGSPINE SNIPEFISH,S,12,13
LUMPFISH,M,31,40
MARGINED SNAKE EEL,M,36,42
MARLIN-SPIKE,M,24,26
MARLIN-SPIKE,S,15,20
MOUSTACHE SCULPIN,S,7,16
NORTHERN KINGFISH,M,21,39
NORTHERN KINGFISH,S,9,20
NORTHERN PIPEFISH,M,22,24
NORTHERN PIPEFISH,S,14,20
NORTHERN SAND LANCE,L,27,27
NORTHERN SAND LANCE,M,11,24
NORTHERN SAND LANCE,S,2,10
NORTHERN SEAROBIN,L,31,49
NORTHERN SEAROBIN,M,21,30
NORTHERN SEAROBIN,S,3,20
NORTHERN SHORTFIN SQUID,L,31,190
NORTHERN SHORTFIN SQUID,M,16,30
NORTHERN SHORTFIN SQUID,S,3,15
NORTHERN STARGAZER,M,23,23
NORTHERN STARGAZER,S,19,19
OCEAN POUT,L,61,98
OCEAN POUT,M,31,60
OCEAN POUT,S,5,30
OFFSHORE HAKE,L,41,56
OFFSHORE HAKE,M,21,40
OFFSHORE HAKE,S,6,20
OFFSHORE LIZARDFISH,M,21,23
OFFSHORE LIZARDFISH,S,7,20
PIGFISH,M,22,24
PIGFISH,S,16,19
PINFISH,S,15,18
PLANEHEAD FILEFISH,S,5,8
POLLOCK,L,51,80
POLLOCK,M,21,50
POLLOCK,S,10,20
POLLOCK,XL,81,120
RADIATED SHANNY,S,12,14
RED CORNETFISH,L,88,115
RED CORNETFISH,M,43,49
RED DRUM,L,94,102
RED HAKE,L,41,98
RED HAKE,M,21,40
RED HAKE,S,3,20
RED PORGY,M,21,40
ROSETTE SKATE,M,31,47
ROSETTE SKATE,S,7,30
ROUGH SCAD,S,12,15
