"SVSPP","group","common_name","sci_name"
747,"apex predator","bluefin tuna","Thunnus thynnus"
11,"apex predator","shark uncl","Selachimorpha"
700,"apex predator","swordfish","Xiphias gladius"
704,"apex predator","yellowfin tuna","Thunnus albacares"
301,"benthivore","American lobster","Homarus americanus"
102,"benthivore","American plaice","Hippoglossoides platessoides"
192,"benthivore","Atlantic wolffish","Anarhichas lupus"
22,"benthivore","barndoor skate","Dipturus laevis"
141,"benthivore","black sea bass","Centropristis striata"
314,"benthivore","blue crab","Callinectes sapidus"
311,"benthivore","cancer crab uncl","Cancridae"
14,"benthivore","chain dogfish","Scyliorhinus retifer"
310,"benthivore","crab,red deepsea","Chaceon quinquedens"
176,"benthivore","cunner","Tautogolabrus adspersus"
74,"benthivore","haddock","Melanogrammus aeglefinus"
312,"benthivore","jonah crab","Cancer borealis"
322,"benthivore","lady crab","Ovalipes ocellatus"
193,"benthivore","ocean pout","Zoarces americanus"
25,"benthivore","rosette skate","Leucoraja garmani"
143,"benthivore","scup","Stenotomus chrysops"
13,"benthivore","smooth dogfish","Mustelus canis"
317,"benthivore","spider crab uncl","Majidae"
501,"benthivore","squid cuttlefish and octopod uncl","Cephalopoda"
172,"benthivore","striped searobin","Prionotus evolans"
177,"benthivore","tautog","Tautoga onitis"
151,"benthivore","tilefish","Lopholatilus chamaeleonticeps"
106,"benthivore","winter flounder","Pseudopleuronectes americanus"
107,"benthivore","witch flounder","Glyptocephalus cynoglossus"
105,"benthivore","yellowtail flounder","Limanda ferruginea"
403,"benthos","Atlantic surfclam","Spisula solidissima"
343,"benthos","blue mussel","Mytilus edulis"
336,"benthos","channeled whelk","Busycotypus canaliculatus"
409,"benthos","ocean quahog","Arctica islandica"
401,"benthos","sea scallop","Placopecten magellanicus"
331,"benthos","sea urchin and sand dollar uncl","Echinoidea"
397,"other","academy eel","Apterichtus ansp"
297,"other","aesop shrimp","Pandalus montagui"
568,"other","african pompano","Alectis ciliaris"
703,"other","albacore","Thunnus alalunga"
165,"other","alligatorfish","Aspidophoroides monopterygius"
578,"other","almaco jack","Seriola rivoliana"
384,"other","American eel","Anguilla rostrata"
734,"other","American sand lance","Ammodytes americanus"
623,"other","anchor tilefish","Caulolatilus intermedius"
851,"other","anchovy uncl","Engraulidae"
882,"other","anglefin whiff","Citharichthys gymnorhinus"
189,"other","arctic eelpout","Lycodes reticulatus"
291,"other","arctic eualid","Eualus fabricii"
407,"other","arctic surfclam","Mactromeris polynyma"
408,"other","arctic surfclam clapper","Mactromeris polynyma clapper"
173,"other","armored searobin","Peristedion miniatum"
505,"other","arrow squid","Loligo plei"
16,"other","Atlantic angel shark","Squatina dumeril"
46,"other","Atlantic argentine","Argentina silus"
199,"other","Atlantic batfish","Dibranchus atlanticus"
123,"other","Atlantic bonito","Sarda sarda"
504,"other","Atlantic brief squid","Lolliguncula brevis"
573,"other","Atlantic bumper","Chloroscombrus chrysurus"
404,"other","Atlantic calico scallop","Argopecten gibbus"
136,"other","Atlantic croaker","Micropogonias undulatus"
126,"other","Atlantic cutlassfish","Trichiurus lepturus"
465,"other","Atlantic flyingfish","Cypselurus melanurus"
200,"other","Atlantic guitarfish","Rhinobatos lentiginosus"
1,"other","Atlantic hagfish","Myxine glutinosa"
444,"other","Atlantic midshipman","Porichthys plectrodon"
132,"other","Atlantic moonfish","Selene setapinnis"
471,"other","Atlantic needlefish","Strongylura marina"
585,"other","Atlantic pomfret","Brama brama"
313,"other","Atlantic rock crab","Cancer irroratus"
894,"other","Atlantic salmon","Salmo salar"
205,"other","Atlantic saury","Scomberesox saurus"
170,"other","Atlantic seasnail","Liparis atlanticus"
360,"other","Atlantic sharpnose shark","Rhizoprionodon terraenovae"
113,"other","Atlantic silverside","Menidia menidia"
262,"other","Atlantic soft pout","Melanostigma atlanticum"
659,"other","Atlantic spadefish","Chaetodipterus faber"
169,"other","Atlantic spiny lumpsucker","Eumicrotremus spinosus"
373,"other","Atlantic stingray","Dasyatis sabina"
380,"other","Atlantic sturgeon","Acipenser oxyrhynchus"
406,"other","Atlantic surfclam clapper","Spisula solidissima clapper"
885,"other","Atlantic thornyhead","Trachyscorpia cristulata"
428,"other","Atlantic thread herring","Opisthonema oglinum"
453,"other","Atlantic tomcod","Microgadus tomcod"
21,"other","Atlantic torpedo","Torpedo nobiliana"
849,"other","balloonfish","Diodon holocanthus"
468,"other","ballyhoo","Hemiramphus brasiliensis"
664,"other","banded butterflyfish","Chaetodon striatus"
