"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",41779.969872004,5063.56859006956,0.147568517325533
"1","1986","Stratum_1"," [g/km^2]",42521.4903137905,4893.52465913335,0.139778225454882
"1","1987","Stratum_1"," [g/km^2]",43111.9365781029,5194.40656692143,0.146854718581189
"1","1988","Stratum_1"," [g/km^2]",29354.3341214777,3682.74901118707,0.153301817188569
"1","1989","Stratum_1"," [g/km^2]",32293.4017063049,3523.37484986451,0.131945457996311
"1","1990","Stratum_1"," [g/km^2]",35469.4700383683,4086.57969590641,0.139582247227392
"1","1991","Stratum_1"," [g/km^2]",27690.5844306272,3191.88233213209,0.13944581439119
"1","1992","Stratum_1"," [g/km^2]",40587.4887297715,4383.17341103664,0.12965828877176
"1","1993","Stratum_1"," [g/km^2]",45318.7966509605,4818.45680701187,0.127077761119089
"1","1994","Stratum_1"," [g/km^2]",29831.7652246763,3298.34710141832,0.133520579099497
"1","1995","Stratum_1"," [g/km^2]",31398.7821771833,3289.66758258539,0.125093499495832
"1","1996","Stratum_1"," [g/km^2]",33910.3746041775,3778.97223170702,0.134200749127626
"1","1997","Stratum_1"," [g/km^2]",33545.3454048853,3744.19192878993,0.134660804704054
"1","1998","Stratum_1"," [g/km^2]",36257.6286463264,3791.72370122683,0.125040663593706
"1","1999","Stratum_1"," [g/km^2]",50967.672896154,5378.81267172179,0.126292966973654
"1","2000","Stratum_1"," [g/km^2]",51609.2234107734,5636.65002333258,0.130907874205717
"1","2001","Stratum_1"," [g/km^2]",47926.4755719851,5353.62517983454,0.134783367797378
"1","2002","Stratum_1"," [g/km^2]",38908.6956908109,4550.20739665279,0.141122735148495
"1","2003","Stratum_1"," [g/km^2]",37522.0386966679,4539.64089619381,0.147185968819746
"1","2004","Stratum_1"," [g/km^2]",42726.1006573377,5052.78829185489,0.143642431267115
"1","2005","Stratum_1"," [g/km^2]",37820.6608044386,4643.58998118308,0.149226450824801
"1","2006","Stratum_1"," [g/km^2]",31560.441923515,3673.60407278786,0.14015832952402
"1","2007","Stratum_1"," [g/km^2]",42360.3429629846,4785.85886121303,0.1360893500352
"1","2008","Stratum_1"," [g/km^2]",39954.9617206161,4741.68558613778,0.143138591727775
