"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [kg]",2489767.35538001,448215.024439475,0.180022853730068
"1","1986","Stratum_1"," [kg]",2719570.28895558,485513.305671247,0.178525742703897
"1","1987","Stratum_1"," [kg]",2778326.81438716,443187.734904457,0.159516055710033
"1","1988","Stratum_1"," [kg]",2061602.1954185,342061.485899661,0.165920218100187
"1","1989","Stratum_1"," [kg]",1236253.2363914,163612.066019313,0.132345106328615
"1","1990","Stratum_1"," [kg]",1625983.14271239,212927.047459858,0.130952801333882
"1","1991","Stratum_1"," [kg]",1484242.30270773,210989.136081967,0.142152757468949
"1","1992","Stratum_1"," [kg]",2252640.57707258,286172.11508371,0.127038515596485
"1","1993","Stratum_1"," [kg]",2203776.02483891,270160.511168781,0.122589822252254
"1","1994","Stratum_1"," [kg]",1576688.76929701,247870.950537793,0.15720981550995
"1","1995","Stratum_1"," [kg]",1366873.61354129,196147.233895075,0.143500636746435
"1","1996","Stratum_1"," [kg]",1624379.75466509,242637.720061082,0.149372533955958
"1","1997","Stratum_1"," [kg]",1439419.66114154,206129.639850154,0.143203296032988
"1","1998","Stratum_1"," [kg]",1670429.65917201,239082.884390075,0.143126580085139
"1","1999","Stratum_1"," [kg]",1768239.68134571,226845.97964911,0.128289157879587
"1","2000","Stratum_1"," [kg]",1280988.40565482,191295.424034607,0.149334235337454
"1","2001","Stratum_1"," [kg]",1528776.55267521,229420.39980488,0.150067973899402
"1","2002","Stratum_1"," [kg]",1804940.09009904,276458.415817035,0.153167641038914
"1","2003","Stratum_1"," [kg]",1360558.06295182,212208.534723997,0.155971685812215
"1","2004","Stratum_1"," [kg]",1798642.82814147,317829.753025434,0.176705318061311
"1","2005","Stratum_1"," [kg]",1077025.66601129,174109.203380844,0.16165743201427
"1","2006","Stratum_1"," [kg]",1424716.1165561,201876.131190025,0.141695688596555
"1","2007","Stratum_1"," [kg]",2041699.67802459,302945.287473871,0.148378966179286
"1","2008","Stratum_1"," [kg]",1980016.35921085,283183.609823975,0.143020843492849
"1","2009","Stratum_1"," [kg]",1012051.4638875,164508.384800388,0.162549426259883
"1","2010","Stratum_1"," [kg]",1094554.27418501,195635.340641275,0.178735166684121
"1","2011","Stratum_1"," [kg]",1166136.20310041,192319.590294493,0.164920349598249
"1","2012","Stratum_1"," [kg]",1430376.01725382,213449.419074997,0.149226089154374
"1","2013","Stratum_1"," [kg]",1442480.99585948,261861.15229562,0.181535252836794
"1","2014","Stratum_1"," [kg]",1207761.8390718,200202.265295631,0.165763032759415
"1","2015","Stratum_1"," [kg]",1491626.63836208,266857.129633597,0.17890343519651
"1","2016","Stratum_1"," [kg]",1330306.60706845,226488.840979415,0.170253112910956
"1","2017","Stratum_1"," [kg]",1700164.58086679,475875.885119335,0.279899893501321
"1","2018","Stratum_1"," [kg]",887403.539505341,167541.016614122,0.188799130446914
"1","2019","Stratum_1"," [kg]",1245650.89809876,244774.00357928,0.196502891743489
