"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [kg]",2658193.77737648,551271.928279782,0.207385907292231
"1","1986","Stratum_1"," [kg]",2354362.75135308,414152.418610563,0.175908499390141
"1","1987","Stratum_1"," [kg]",2693425.14882411,489242.219879974,0.181643146865829
"1","1988","Stratum_1"," [kg]",1709666.84339316,311043.484325142,0.181932220027041
"1","1989","Stratum_1"," [kg]",1323524.45102402,210357.588080805,0.158937440043552
"1","1990","Stratum_1"," [kg]",1692502.27356329,252289.730074394,0.149063155787224
"1","1991","Stratum_1"," [kg]",1221983.40749327,195549.824310391,0.160026579011849
"1","1992","Stratum_1"," [kg]",1669580.90888352,255286.544951484,0.152904566405349
"1","1993","Stratum_1"," [kg]",1948273.1270442,244864.87955325,0.125683034967866
"1","1994","Stratum_1"," [kg]",1009657.47794872,169213.305250851,0.16759476252742
"1","1995","Stratum_1"," [kg]",1015277.17911092,168888.82591882,0.166347505285912
"1","1996","Stratum_1"," [kg]",1427999.45430743,242957.941128467,0.170138679252017
"1","1997","Stratum_1"," [kg]",1454642.07133694,249140.036720487,0.171272398639967
"1","1998","Stratum_1"," [kg]",1424234.82189979,241528.508382069,0.169584751522852
"1","1999","Stratum_1"," [kg]",1775313.20544188,283800.651527003,0.159859483192638
"1","2000","Stratum_1"," [kg]",1351421.18954301,251019.642909631,0.18574493640618
"1","2001","Stratum_1"," [kg]",1568350.06968558,283885.796588047,0.181009203286458
"1","2002","Stratum_1"," [kg]",1861192.29938644,369079.474851034,0.198302708953129
"1","2003","Stratum_1"," [kg]",1680582.66710504,349646.382380577,0.208050689337927
"1","2004","Stratum_1"," [kg]",1500190.70057247,330992.32527816,0.220633500228907
"1","2005","Stratum_1"," [kg]",1311966.60648324,272590.030534906,0.207772079859249
"1","2006","Stratum_1"," [kg]",1416980.61699425,264038.15805104,0.186338581406376
"1","2007","Stratum_1"," [kg]",2001795.68439125,342665.807198244,0.171179211679862
"1","2008","Stratum_1"," [kg]",2288498.00536218,405046.38793002,0.176992239880024
"1","2009","Stratum_1"," [kg]",1175160.91677478,232590.384957244,0.197922158265429
"1","2010","Stratum_1"," [kg]",929866.253885085,189313.078756722,0.203591729418882
"1","2011","Stratum_1"," [kg]",1185845.46588915,227588.783377785,0.191921114449038
"1","2012","Stratum_1"," [kg]",1444660.3548904,253097.710983477,0.175195304644931
"1","2013","Stratum_1"," [kg]",1237383.17641561,259189.355363583,0.20946571789863
"1","2014","Stratum_1"," [kg]",1303119.01486191,269384.426378527,0.206722811428756
"1","2015","Stratum_1"," [kg]",1084899.26483482,214289.460581999,0.197520145443758
"1","2016","Stratum_1"," [kg]",981145.598051725,192591.052844754,0.196292021517688
"1","2017","Stratum_1"," [kg]",932658.204839657,265200.685598985,0.28434927631884
"1","2018","Stratum_1"," [kg]",830544.380354834,189468.81895305,0.228126062176357
"1","2019","Stratum_1"," [kg]",819584.662753585,184628.020842749,0.225270224338322
