"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",61236.1990210155,12712.7014856471,0.207601087083871
"1","1986","Stratum_1"," [g]",73162.1795574535,14771.2665685984,0.201897574101092
"1","1987","Stratum_1"," [g]",71644.6479016318,13670.9310566553,0.190815803511597
"1","1988","Stratum_1"," [g]",43112.1927916977,8406.56803720126,0.19499281973011
"1","1989","Stratum_1"," [g]",42977.5934667114,7137.91806701007,0.166084638325289
"1","1990","Stratum_1"," [g]",48858.1614136751,8048.16389749448,0.16472506669565
"1","1991","Stratum_1"," [g]",37161.8319873754,6644.22667090775,0.178791688019174
"1","1992","Stratum_1"," [g]",49372.9813102019,8325.48123012888,0.1686242355474
"1","1993","Stratum_1"," [g]",62259.9568416899,9840.70564957729,0.158058343577069
"1","1994","Stratum_1"," [g]",30220.6702734275,5571.96524037901,0.184375964859997
"1","1995","Stratum_1"," [g]",33281.6940995546,5896.54939687661,0.177170951071133
"1","1996","Stratum_1"," [g]",49805.9601719014,9053.0015661504,0.181765425963172
"1","1997","Stratum_1"," [g]",38566.9828395216,7020.02712850717,0.182021683099187
"1","1998","Stratum_1"," [g]",34764.3848319525,6438.78351877858,0.185212065448677
"1","1999","Stratum_1"," [g]",54250.2695292227,9295.11681502427,0.171337707548482
"1","2000","Stratum_1"," [g]",42813.0126891391,8091.59936690508,0.188998597824857
"1","2001","Stratum_1"," [g]",47644.1186762766,9096.78682218834,0.190931999057376
"1","2002","Stratum_1"," [g]",45554.3234784541,9133.42013367333,0.200495132761508
"1","2003","Stratum_1"," [g]",42610.5844124416,8598.57781143945,0.201794411646906
"1","2004","Stratum_1"," [g]",35943.2317388924,7842.29379406266,0.218185550231893
"1","2005","Stratum_1"," [g]",38808.9219286475,7861.89622955664,0.20257960898814
"1","2006","Stratum_1"," [g]",38380.6386470804,7155.65215679579,0.186439111203798
"1","2007","Stratum_1"," [g]",68754.1505574741,11747.2084717469,0.170858171855778
"1","2008","Stratum_1"," [g]",53681.6540126502,9698.60938459452,0.180668974586905
"1","2009","Stratum_1"," [g]",34412.9648898896,6255.46973389405,0.181776541309635
"1","2010","Stratum_1"," [g]",31120.7093914311,5674.3921007279,0.182334921397721
"1","2011","Stratum_1"," [g]",34148.1824195161,6210.43327602579,0.181867169377555
"1","2012","Stratum_1"," [g]",38391.9110414412,6634.91578834411,0.172820669989109
"1","2013","Stratum_1"," [g]",39970.6755826166,7587.21155631565,0.18981944752556
"1","2014","Stratum_1"," [g]",35982.7494578281,6596.0203480753,0.183310626549143
"1","2015","Stratum_1"," [g]",36498.9757391136,6694.48663464597,0.183415739731894
"1","2016","Stratum_1"," [g]",29130.2760351294,5530.62042671659,0.189858153765759
"1","2017","Stratum_1"," [g]",29536.8728496813,6323.65992763958,0.214093751895195
"1","2018","Stratum_1"," [g]",28760.5418570867,5704.14736714704,0.198332402619234
"1","2019","Stratum_1"," [g]",25159.4171952844,5052.36328684336,0.20081400326675
"1","2020","Stratum_1"," [g]",34092.4204710116,10454.2826531353,0.306645363066096
