"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",61887.5409092821,11469.9402921704,0.185335208406222
"1","1986","Stratum_1"," [g]",59166.1259815439,11316.7516439698,0.19127078976744
"1","1987","Stratum_1"," [g]",67267.6614747824,12217.2848528562,0.181621964923462
"1","1988","Stratum_1"," [g]",36950.6995825643,6703.12945971763,0.181407376191616
"1","1989","Stratum_1"," [g]",39388.4505944792,6046.89642741981,0.153519530120013
"1","1990","Stratum_1"," [g]",45940.7797229015,7295.80199984646,0.158808841379101
"1","1991","Stratum_1"," [g]",43674.3805411849,7413.01661863814,0.169733755276682
"1","1992","Stratum_1"," [g]",46572.5419393127,7485.34749868326,0.160724478136434
"1","1993","Stratum_1"," [g]",49480.7417806165,7679.90749421523,0.155210031576845
"1","1994","Stratum_1"," [g]",34947.349411262,5882.6356980661,0.168328522682478
"1","1995","Stratum_1"," [g]",27350.2251447679,4439.98740914734,0.162338239837004
"1","1996","Stratum_1"," [g]",43388.5858835424,7455.05838227131,0.171820727282543
"1","1997","Stratum_1"," [g]",36464.7089686895,6196.50968891889,0.169931691878839
"1","1998","Stratum_1"," [g]",32344.5179780772,5297.69071827868,0.163789447159775
"1","1999","Stratum_1"," [g]",55917.1077384187,9323.41777502963,0.16673640951969
"1","2000","Stratum_1"," [g]",56999.1999144755,10297.0600409492,0.180652711904718
"1","2001","Stratum_1"," [g]",44079.6055943087,8280.83533804212,0.187860921766308
"1","2002","Stratum_1"," [g]",47014.282389475,8721.23327960788,0.185501784486671
"1","2003","Stratum_1"," [g]",40030.8898864966,7593.6059097152,0.18969365735426
"1","2004","Stratum_1"," [g]",31969.0594007356,6388.87349112192,0.199845525983005
"1","2005","Stratum_1"," [g]",38567.7863407465,7443.41393758404,0.192995622611613
"1","2006","Stratum_1"," [g]",35922.4159578474,6253.59996702427,0.174086285687535
"1","2007","Stratum_1"," [g]",71245.6178001629,11553.743415073,0.162167776374403
"1","2008","Stratum_1"," [g]",55035.5488816305,9279.26812231042,0.168604989154703
"1","2009","Stratum_1"," [g]",39261.108750292,6296.73247418015,0.16038091318889
"1","2010","Stratum_1"," [g]",44001.3432522518,7069.8762289873,0.160674100071377
"1","2011","Stratum_1"," [g]",45168.3399087174,7330.80708134997,0.16229967929229
"1","2012","Stratum_1"," [g]",48269.8059272876,7504.5200331886,0.155470275652096
"1","2013","Stratum_1"," [g]",43340.4225527678,7199.15624348092,0.166107200148218
"1","2014","Stratum_1"," [g]",33968.9289324903,5653.26020089049,0.166424446650224
"1","2015","Stratum_1"," [g]",45180.8288475775,7175.13097583198,0.158809193165493
"1","2016","Stratum_1"," [g]",42543.3556277266,6786.13840718999,0.159511122408202
"1","2017","Stratum_1"," [g]",38768.3260781036,7661.68477361307,0.197627433234483
"1","2018","Stratum_1"," [g]",32220.985763618,5645.58493854229,0.175214531919037
"1","2019","Stratum_1"," [g]",37162.2041149699,6383.70858561983,0.17177960074355
"1","2020","Stratum_1"," [g]",35143.639787612,10835.2740247869,0.308313939315025
"1","2021","Stratum_1"," [g]",36156.6502502054,11652.5312473119,0.32227905977672
