"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",63689.0062651879,11778.1306047614,0.184931926174507
"1","1986","Stratum_1"," [g]",61777.128794451,11809.0663106494,0.191155959189061
"1","1987","Stratum_1"," [g]",68218.9403345312,12417.4775319534,0.182023899390121
"1","1988","Stratum_1"," [g]",38014.7935572256,6921.22358606634,0.182066583516952
"1","1989","Stratum_1"," [g]",40405.5163734789,6234.21972750041,0.154291301956789
"1","1990","Stratum_1"," [g]",48026.7337773191,7620.00244433425,0.158661683712766
"1","1991","Stratum_1"," [g]",44698.7311420462,7556.79553848539,0.169060627570634
"1","1992","Stratum_1"," [g]",49282.8007773738,7873.23214045204,0.159756183014394
"1","1993","Stratum_1"," [g]",51369.867943039,7931.12196581615,0.154392492786052
"1","1994","Stratum_1"," [g]",36343.0856480757,6078.24343477678,0.167246212763407
"1","1995","Stratum_1"," [g]",28094.3829540544,4540.08222249956,0.161601065591098
"1","1996","Stratum_1"," [g]",45620.6877365917,7886.30388780315,0.172866834742556
"1","1997","Stratum_1"," [g]",38177.2956062842,6495.07597713699,0.17012928427722
"1","1998","Stratum_1"," [g]",33830.0584200648,5543.02162301342,0.163849011260526
"1","1999","Stratum_1"," [g]",56956.5080226322,9479.76968245162,0.166438744430834
"1","2000","Stratum_1"," [g]",59391.0096294071,10780.5332750842,0.181517932467447
"1","2001","Stratum_1"," [g]",45675.4490461407,8598.7987096639,0.188258657314513
"1","2002","Stratum_1"," [g]",47805.4797468505,8872.9493179547,0.185605277155268
"1","2003","Stratum_1"," [g]",41479.0697523448,7888.36281167541,0.190176946078438
"1","2004","Stratum_1"," [g]",33911.3532340306,6723.06762274153,0.19825418279076
"1","2005","Stratum_1"," [g]",39848.4926252713,7696.42052397513,0.193142074315106
"1","2006","Stratum_1"," [g]",37971.3950149475,6605.37239309302,0.173956537295846
"1","2007","Stratum_1"," [g]",75265.2638222079,12297.7963294986,0.16339272202046
"1","2008","Stratum_1"," [g]",57165.3181949115,9616.48278760837,0.168222325900819
"1","2009","Stratum_1"," [g]",42005.9063192621,6726.59152764565,0.160134421967254
"1","2010","Stratum_1"," [g]",45824.9698538977,7383.74945860074,0.161129390420597
"1","2011","Stratum_1"," [g]",46718.6516947358,7568.61840919465,0.162004213191954
"1","2012","Stratum_1"," [g]",50384.8414033845,7830.79165750884,0.155419595247209
"1","2013","Stratum_1"," [g]",44707.4803945867,7392.69298835477,0.165356958681346
"1","2014","Stratum_1"," [g]",35189.734002116,5846.05869233051,0.166129664179302
"1","2015","Stratum_1"," [g]",47522.3852334864,7592.67801975763,0.159770558284341
