"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",106667.64337555,24918.3798010633,0.288792996769375
"1","1986","Stratum_1"," [g/km^2]",101546.933715751,23455.7421480462,0.286660364660073
"1","1987","Stratum_1"," [g/km^2]",114655.424631756,25885.333837315,0.279794561405618
"1","1988","Stratum_1"," [g/km^2]",62272.9382363183,13915.4265001715,0.275195846627775
"1","1989","Stratum_1"," [g/km^2]",68041.708730969,15258.4031922562,0.273937729383659
"1","1990","Stratum_1"," [g/km^2]",81330.2964880335,18783.8157006138,0.28183678640524
"1","1991","Stratum_1"," [g/km^2]",69897.1275172063,16062.5547146915,0.281243585480083
"1","1992","Stratum_1"," [g/km^2]",77328.0239093672,16977.2171323219,0.2666025352521
"1","1993","Stratum_1"," [g/km^2]",83356.5099426032,18486.1110669293,0.268390220444183
"1","1994","Stratum_1"," [g/km^2]",61155.1230980853,13782.7332058981,0.276312746014831
"1","1995","Stratum_1"," [g/km^2]",47015.0724474043,11180.4734435341,0.289787125059044
"1","1996","Stratum_1"," [g/km^2]",72521.5446493038,16240.2921980362,0.274164362321573
"1","1997","Stratum_1"," [g/km^2]",62857.1258894116,14257.8139566519,0.277135156646703
"1","1998","Stratum_1"," [g/km^2]",53114.8148823286,11262.0811168935,0.257177596878274
"1","1999","Stratum_1"," [g/km^2]",93308.2964289357,20665.9122240421,0.270023963257955
"1","2000","Stratum_1"," [g/km^2]",98213.5776286217,23114.878720635,0.28823213813895
"1","2001","Stratum_1"," [g/km^2]",76572.4812815397,18804.6624338777,0.303070090191168
"1","2002","Stratum_1"," [g/km^2]",82088.7145428149,19719.1180044499,0.296027740420714
"1","2003","Stratum_1"," [g/km^2]",67755.6438496067,16005.9514498003,0.291748604202029
"1","2004","Stratum_1"," [g/km^2]",51859.0025393085,12251.5125769755,0.292587425118558
"1","2005","Stratum_1"," [g/km^2]",66132.5058735285,16391.454834119,0.306230423762089
"1","2006","Stratum_1"," [g/km^2]",61827.6872644454,14819.0401697278,0.293575533222722
"1","2007","Stratum_1"," [g/km^2]",88552.6171026899,20410.7744903024,0.281620694676875
"1","2008","Stratum_1"," [g/km^2]",94415.4562807462,21405.1497608691,0.275793092213489
"1","2009","Stratum_1"," [g/km^2]",64673.5603765473,13689.8058226377,0.256695774531573
"1","2010","Stratum_1"," [g/km^2]",70148.5465104562,15044.312124685,0.260534731974791
"1","2011","Stratum_1"," [g/km^2]",76125.6928158697,17829.2788669409,0.283417995423645
"1","2012","Stratum_1"," [g/km^2]",83650.3025179367,19031.1445393595,0.275648649720376
"1","2013","Stratum_1"," [g/km^2]",74083.4264318071,15818.158321363,0.26065843156815
"1","2014","Stratum_1"," [g/km^2]",56595.1587438069,12846.9761666575,0.277088591101651
"1","2015","Stratum_1"," [g/km^2]",75109.2546987111,16969.6286814225,0.275163300101082
"1","2016","Stratum_1"," [g/km^2]",73538.874302741,16624.3944043134,0.273976518674183
"1","2017","Stratum_1"," [g/km^2]",68702.9545552568,15946.5222828272,0.288146581086712
"1","2018","Stratum_1"," [g/km^2]",56720.7225986596,13133.3409708426,0.283859455340188
"1","2019","Stratum_1"," [g/km^2]",64810.8126558144,14521.5527101422,0.273200402953363
"1","2020","Stratum_1"," [g/km^2]",64912.0431193943,18410.7498582138,0.35978157457507
"1","2021","Stratum_1"," [g/km^2]",78467.2916376092,18194.1432819793,0.282573155322722
"1","1985","Stratum_2"," [g/km^2]",75715.448438482,19442.2504329378,0.31615001324374
"1","1986","Stratum_2"," [g/km^2]",70564.1256022242,18060.4354408497,0.316943993720927
"1","1987","Stratum_2"," [g/km^2]",72723.4607415018,18259.4354232319,0.310422176825723
"1","1988","Stratum_2"," [g/km^2]",41264.829708246,10117.92186742,0.301083819693895
"1","1989","Stratum_2"," [g/km^2]",44323.7796992319,11218.6106283139,0.307975353101985
