"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",94986.1263766528,27543.7715485027,0.289976785023132
"1","1986","Stratum_1"," [g]",90336.8871250165,26126.7764887484,0.28921493002733
"1","1987","Stratum_1"," [g]",99198.0358505089,27803.026885871,0.280277997920948
"1","1988","Stratum_1"," [g]",55025.4293637292,15242.5753615959,0.277009657859086
"1","1989","Stratum_1"," [g]",60489.7862143447,16675.0850733529,0.275667779916844
"1","1990","Stratum_1"," [g]",72654.2433628965,20573.9065461274,0.283175566819462
"1","1991","Stratum_1"," [g]",67111.509961767,18945.2780571021,0.282295511871139
"1","1992","Stratum_1"," [g]",71870.149604969,19158.2250816362,0.266567207483754
"1","1993","Stratum_1"," [g]",75971.3835871133,20460.7451656572,0.269321739312483
"1","1994","Stratum_1"," [g]",54264.2361464068,15110.9189372092,0.278469209378337
"1","1995","Stratum_1"," [g]",43076.8771328803,12572.4071664488,0.291859763363683
"1","1996","Stratum_1"," [g]",66507.6119471554,18292.1449893671,0.275038367095506
"1","1997","Stratum_1"," [g]",56300.1184025972,15741.616947184,0.279601844433383
"1","1998","Stratum_1"," [g]",48016.3962826033,12446.6263431732,0.259216170033209
"1","1999","Stratum_1"," [g]",83194.8284284533,22683.7346006593,0.272657988833608
"1","2000","Stratum_1"," [g]",89247.8264954943,25964.3100586813,0.290923724175984
"1","2001","Stratum_1"," [g]",69350.5600021157,21130.193920683,0.304686709379684
"1","2002","Stratum_1"," [g]",72562.7507344114,21710.2893362171,0.299193306710209
"1","2003","Stratum_1"," [g]",61288.5765160014,18032.1547450368,0.29421722236164
"1","2004","Stratum_1"," [g]",49738.0448944596,14603.9681466591,0.293617655813526
"1","2005","Stratum_1"," [g]",60586.7943077143,18674.3400256537,0.308224593148281
"1","2006","Stratum_1"," [g]",57975.1692368655,17081.6553557009,0.29463743841629
"1","2007","Stratum_1"," [g]",114081.344090522,32691.2060127012,0.286560491317152
"1","2008","Stratum_1"," [g]",84485.6411610437,23541.7492622668,0.278647932817275
"1","2009","Stratum_1"," [g]",59895.2959091358,15525.5888404246,0.259212156894219
"1","2010","Stratum_1"," [g]",65785.3850687526,17290.861072782,0.262837422851767
"1","2011","Stratum_1"," [g]",70653.8042097424,20129.4299093236,0.284902279990013
"1","2012","Stratum_1"," [g]",75937.2455876931,21077.6751749177,0.277567022767201
"1","2013","Stratum_1"," [g]",64069.1877307046,16783.680721967,0.261961815288062
"1","2014","Stratum_1"," [g]",52338.1765381804,14668.2964328475,0.280259982350495
"1","2015","Stratum_1"," [g]",70987.8882475047,19700.6143578123,0.277520783392296
"1","2016","Stratum_1"," [g]",65780.2097947513,18180.7974651458,0.27638703983879
"1","2017","Stratum_1"," [g]",59450.6210884313,17290.7690425829,0.290842529918456
"1","2018","Stratum_1"," [g]",49895.8405626149,14281.5603496102,0.286227472842912
"1","2019","Stratum_1"," [g]",55952.0810368103,15490.6813706946,0.276856214883293
"1","2020","Stratum_1"," [g]",53369.7823790193,19267.77806337,0.361024107734503
"1","2021","Stratum_1"," [g]",53522.6600137089,20447.7514974367,0.38203914925378
"1","1985","Stratum_2"," [g]",68060.0984433181,21500.7054272058,0.315907645139715
"1","1986","Stratum_2"," [g]",63337.6680531625,20124.378786591,0.317731602775454
"1","1987","Stratum_2"," [g]",64069.8569920382,19828.2628682752,0.309478806402505
"1","1988","Stratum_2"," [g]",36808.940488409,11083.4199124558,0.301106735629783
"1","1989","Stratum_2"," [g]",39815.0326114657,12269.4895359266,0.308162237506074
"1","1990","Stratum_2"," [g]",48617.9051346599,15026.3360937804,0.30907000316367
"1","1991","Stratum_2"," [g]",42872.3036194545,13322.0909127597,0.310738863743128
"1","1992","Stratum_2"," [g]",45542.0573321915,13430.7135263288,0.294907922766049
"1","1993","Stratum_2"," [g]",46930.7709073624,14068.4006328139,0.299769220935743
"1","1994","Stratum_2"," [g]",36180.4075101854,11038.2411434873,0.305088911460708
"1","1995","Stratum_2"," [g]",26199.1443018504,8591.60806718336,0.327934682453602
"1","1996","Stratum_2"," [g]",47847.217802782,14058.7462416097,0.293825783132416
"1","1997","Stratum_2"," [g]",35994.8625049785,11101.8611265203,0.308429046644777
"1","1998","Stratum_2"," [g]",30639.9097930401,8701.05044425092,0.283977678231525
"1","1999","Stratum_2"," [g]",51022.960409471,15448.8210731911,0.30278174667269
"1","2000","Stratum_2"," [g]",57287.4494300296,18145.5882670889,0.316746310887026
