"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",1295575.16622956,226742.142583046,0.175012726774411
"1","1986","Stratum_1"," [g]",1470365.61538987,263642.021396897,0.179303717821905
"1","1987","Stratum_1"," [g]",1645318.7794104,298426.447277493,0.181379104774112
"1","1988","Stratum_1"," [g]",1068853.97754947,222136.214327259,0.207826531025824
"1","1989","Stratum_1"," [g]",1691023.55962198,258299.67616246,0.152747532518235
"1","1990","Stratum_1"," [g]",887657.746358175,163389.761094145,0.184068422502357
"1","1991","Stratum_1"," [g]",811510.050973059,139674.969477447,0.172117362329605
"1","1992","Stratum_1"," [g]",1217749.68239487,206960.251636088,0.16995303273582
"1","1993","Stratum_1"," [g]",1377933.36511555,228191.241010369,0.165603973883914
"1","1994","Stratum_1"," [g]",882580.318449274,183246.046494852,0.207625348837172
"1","1995","Stratum_1"," [g]",1180981.02743362,180853.772513951,0.153138592672368
"1","1996","Stratum_1"," [g]",692229.588727854,141916.509310785,0.205013642325797
"1","1997","Stratum_1"," [g]",582183.896518026,112521.682147692,0.193275153814235
"1","1998","Stratum_1"," [g]",885163.429103827,150843.363093238,0.170413008641757
"1","1999","Stratum_1"," [g]",806019.645945848,142793.368630243,0.177158670199257
"1","2000","Stratum_1"," [g]",1316427.65400114,212923.312497676,0.161743269256399
"1","2001","Stratum_1"," [g]",1157562.78890503,213699.635101912,0.184611700678505
"1","2002","Stratum_1"," [g]",989138.72207083,161134.495707073,0.16290383958453
"1","2003","Stratum_1"," [g]",626682.718184071,129403.622204271,0.206489852758732
"1","2004","Stratum_1"," [g]",1218042.24717447,261995.126965639,0.215095270770285
"1","2005","Stratum_1"," [g]",957294.141313003,222343.898301359,0.232262884212784
"1","2006","Stratum_1"," [g]",1115259.15413123,210596.620853528,0.188832003820295
"1","2007","Stratum_1"," [g]",671774.889323206,136727.592562745,0.203531859758101
"1","2008","Stratum_1"," [g]",819387.402333242,194423.595379014,0.23727920984065
"1","2009","Stratum_1"," [g]",842317.072112911,147083.443359949,0.174617668606666
"1","2010","Stratum_1"," [g]",782154.730828134,151783.570029076,0.194058239433481
"1","2011","Stratum_1"," [g]",1044593.2322495,228951.665365208,0.219177818022203
"1","2012","Stratum_1"," [g]",1386657.95245181,260079.949947413,0.187558834886104
"1","2013","Stratum_1"," [g]",714363.097999974,164923.947603753,0.23086851499678
"1","2014","Stratum_1"," [g]",593829.37619816,163680.20478827,0.275635075240283
"1","2015","Stratum_1"," [g]",908691.662672148,214644.225680692,0.23621238589281
"1","2016","Stratum_1"," [g]",573557.031060634,130030.603859966,0.226709109675649
"1","2017","Stratum_1"," [g]",640327.082791204,175258.790561726,0.273701980240736
"1","2018","Stratum_1"," [g]",684877.330635831,184959.421146636,0.270062116050654
"1","2019","Stratum_1"," [g]",715301.95060884,172809.019263038,0.241588910971023
"1","2020","Stratum_1"," [g]",344407.171407615,154655.529906969,0.449048517993634
