"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",1310306.70302424,228371.600669376,0.174288660923648
"1","1986","Stratum_1"," [g]",1514338.31192248,271491.522612234,0.179280627370228
"1","1987","Stratum_1"," [g]",1707146.27145795,308524.187939754,0.180725104285449
"1","1988","Stratum_1"," [g]",1089280.28059004,225104.205691484,0.20665407214528
"1","1989","Stratum_1"," [g]",1730053.39593278,263490.709063318,0.152302067486914
"1","1990","Stratum_1"," [g]",902999.541945402,165217.602620415,0.18296532273369
"1","1991","Stratum_1"," [g]",844264.056694804,143986.336211191,0.170546566645133
"1","1992","Stratum_1"," [g]",1241853.38617201,210880.254699408,0.169810910891376
"1","1993","Stratum_1"," [g]",1396553.62741908,231300.981218366,0.165622699105242
"1","1994","Stratum_1"," [g]",913329.273877575,188996.202650619,0.206931068625697
"1","1995","Stratum_1"," [g]",1238507.96542947,189473.504890823,0.152985293740215
"1","1996","Stratum_1"," [g]",708044.540816586,145665.940456908,0.205729911128066
"1","1997","Stratum_1"," [g]",595436.823723775,115824.999394955,0.194521055433895
"1","1998","Stratum_1"," [g]",939347.132358746,159834.592604231,0.170154980090138
"1","1999","Stratum_1"," [g]",852926.300903814,149979.992138949,0.175841678208329
"1","2000","Stratum_1"," [g]",1377102.79949264,222756.51859047,0.161757363845705
"1","2001","Stratum_1"," [g]",1182592.07029054,219416.86503429,0.185538928043365
"1","2002","Stratum_1"," [g]",1028308.87739603,166943.42349851,0.16234754670334
"1","2003","Stratum_1"," [g]",641465.448459114,132289.883307825,0.20623072314433
"1","2004","Stratum_1"," [g]",1243373.95854303,269259.055158923,0.216555166938221
"1","2005","Stratum_1"," [g]",983360.237981455,229872.44776114,0.2337621950558
"1","2006","Stratum_1"," [g]",1143528.22553096,215990.964110022,0.188881183068073
"1","2007","Stratum_1"," [g]",683574.551996663,139955.365025929,0.204740455327267
"1","2008","Stratum_1"," [g]",817736.334928255,194723.572850905,0.238125132189447
"1","2009","Stratum_1"," [g]",861083.810916899,149212.905524265,0.173284996921937
"1","2010","Stratum_1"," [g]",799216.063867349,155062.704762106,0.194018503596847
"1","2011","Stratum_1"," [g]",1067296.97381454,233924.021212759,0.219174256979957
"1","2012","Stratum_1"," [g]",1457679.9351224,269790.792289897,0.185082325543051
"1","2013","Stratum_1"," [g]",736593.673767954,169193.825283651,0.229697635628827
"1","2014","Stratum_1"," [g]",605520.913015996,167153.504386312,0.276049102175101
"1","2015","Stratum_1"," [g]",945151.690497767,221502.883262339,0.234356966706248
"1","2016","Stratum_1"," [g]",584028.743420759,132270.789077873,0.226479930256755
"1","2017","Stratum_1"," [g]",665512.492123,180888.414074565,0.27180318358492
"1","2018","Stratum_1"," [g]",707383.789588984,190447.722277561,0.26922828184714
"1","2019","Stratum_1"," [g]",729963.058837415,176204.584106265,0.241388357908001
"1","2020","Stratum_1"," [g]",353796.045686469,159961.301988247,0.452128575032191
