"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",26139.0555185609,5797.74233905033,0.221803818999254
"1","1986","Stratum_1"," [g]",37445.4316589814,8276.96470514643,0.221040707462673
"1","1987","Stratum_1"," [g]",32282.2399192187,7452.09546552433,0.23084195781247
"1","1988","Stratum_1"," [g]",21430.7139874587,5269.19289957024,0.245871084960296
"1","1989","Stratum_1"," [g]",39447.3123970499,8478.02012029052,0.214920094807893
"1","1990","Stratum_1"," [g]",18433.3549345941,4270.87762836855,0.231692909051154
"1","1991","Stratum_1"," [g]",20040.1865684763,4438.38616099398,0.221474293456712
"1","1992","Stratum_1"," [g]",33965.8838303803,7354.57048767591,0.216528164684403
"1","1993","Stratum_1"," [g]",37259.1750503208,7770.17548932985,0.208543948674005
"1","1994","Stratum_1"," [g]",29338.8146666466,6958.81904698202,0.237188145671511
"1","1995","Stratum_1"," [g]",39613.4297537862,7994.07811217322,0.201802221162361
"1","1996","Stratum_1"," [g]",24068.4316963108,5635.78230076275,0.234156606956099
"1","1997","Stratum_1"," [g]",27363.4295630308,6089.41477266045,0.222538434322851
"1","1998","Stratum_1"," [g]",35290.2799203885,7031.55345063486,0.199249013226797
"1","1999","Stratum_1"," [g]",33805.1235566892,6985.08489703641,0.206627994875476
"1","2000","Stratum_1"," [g]",42333.2752911042,8472.36036282162,0.200134771159603
"1","2001","Stratum_1"," [g]",43298.5574550676,9264.58595683936,0.213969852608913
"1","2002","Stratum_1"," [g]",34901.1660208291,7072.559032323,0.202645350820144
"1","2003","Stratum_1"," [g]",24533.947061272,5782.18606693125,0.235681036259294
"1","2004","Stratum_1"," [g]",38885.3032385586,9509.183669291,0.244544413372652
"1","2005","Stratum_1"," [g]",36971.0469639967,9581.25881460301,0.259155734051391
"1","2006","Stratum_1"," [g]",41599.2489085941,9533.4718639368,0.229174134487011
"1","2007","Stratum_1"," [g]",27558.1623546079,6379.16955531041,0.231480222564397
"1","2008","Stratum_1"," [g]",29603.6624880685,6846.50732120352,0.231272307065483
"1","2009","Stratum_1"," [g]",32370.9398549157,6253.59858391497,0.193185573602223
"1","2010","Stratum_1"," [g]",26366.0079130861,5487.89520928702,0.208142818866531
"1","2011","Stratum_1"," [g]",32439.53467471,6942.30315212785,0.214007482590067
"1","2012","Stratum_1"," [g]",53532.3241313637,10967.2804923571,0.204872115498747
"1","2013","Stratum_1"," [g]",37090.3196970234,8333.34729469006,0.224677149260561
"1","2014","Stratum_1"," [g]",27701.9450636734,6699.88616895862,0.241856164018765
"1","2015","Stratum_1"," [g]",41869.0177647305,9221.05244945022,0.220235700327744
"1","2016","Stratum_1"," [g]",28279.5285688646,6110.57756100047,0.216077773224556
"1","2017","Stratum_1"," [g]",21024.6321781299,5315.28240364892,0.252812147133682
"1","2018","Stratum_1"," [g]",32131.5362792046,7661.76091579246,0.238449878313199
"1","2019","Stratum_1"," [g]",34568.6026728382,7706.22345644262,0.222925512187326
"1","2020","Stratum_1"," [g]",21627.0154518896,9606.28212141958,0.444179740972085
