"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",30067.9389406585,6098.48567670834,0.202823535352529
"1","1986","Stratum_1"," [g]",32358.0930720503,5967.51188428705,0.184421000057063
"1","1987","Stratum_1"," [g]",28852.9475963475,5943.02489404137,0.205976352128186
"1","1988","Stratum_1"," [g]",20187.9308005161,4868.41736142104,0.241154846899742
"1","1989","Stratum_1"," [g]",29446.1197581904,5536.25125286611,0.188012929999927
"1","1990","Stratum_1"," [g]",23761.7942305112,5028.15023402178,0.211606505184083
"1","1991","Stratum_1"," [g]",15039.0459942691,2919.83446734996,0.194150245199238
"1","1992","Stratum_1"," [g]",37239.3531581599,7046.37293247745,0.189218456683464
"1","1993","Stratum_1"," [g]",41099.174436868,7690.78610557327,0.187127508300368
"1","1994","Stratum_1"," [g]",28718.5708591125,5506.27644636656,0.191732258313941
"1","1995","Stratum_1"," [g]",42131.3979709429,6945.8142312512,0.16486075862096
"1","1996","Stratum_1"," [g]",24364.1369731721,4669.59136787954,0.191658394180813
"1","1997","Stratum_1"," [g]",29325.4143196608,5443.5093969922,0.185624296306793
"1","1998","Stratum_1"," [g]",37297.872390865,6203.76775570074,0.16633033891821
"1","1999","Stratum_1"," [g]",52988.2086322787,8680.89053887428,0.163826835496872
"1","2000","Stratum_1"," [g]",57770.1567028152,9710.42195519277,0.168087166616938
"1","2001","Stratum_1"," [g]",61306.4775980816,10908.5396426428,0.177934535958142
"1","2002","Stratum_1"," [g]",36661.5915588174,6735.88477234123,0.183731378970131
"1","2003","Stratum_1"," [g]",38825.368727664,8015.08511552336,0.206439381728587
"1","2004","Stratum_1"," [g]",58458.0781160107,11602.0513168787,0.198467888284906
"1","2005","Stratum_1"," [g]",37615.1466967837,8161.99992025025,0.216987055402024
"1","2006","Stratum_1"," [g]",33802.6088376487,6679.29238001861,0.19759694916149
"1","2007","Stratum_1"," [g]",31547.4790138119,6254.37424841874,0.198252742974501
"1","2008","Stratum_1"," [g]",29696.4624160899,5812.8396634176,0.195741822105658
"1","2009","Stratum_1"," [g]",36938.7218769309,6212.58856739573,0.168186343536581
"1","2010","Stratum_1"," [g]",39265.7022657675,7189.62590989559,0.183101931075447
"1","2011","Stratum_1"," [g]",56047.0807034855,10356.6710678017,0.184785200902669
"1","2012","Stratum_1"," [g]",75222.1632202938,12892.9804658532,0.171398693069955
"1","2013","Stratum_1"," [g]",49885.4909723861,9248.37481021369,0.18539207753479
"1","2014","Stratum_1"," [g]",37403.0021359296,7215.1631338586,0.192903315825755
"1","2015","Stratum_1"," [g]",42935.9706216862,8262.38780928926,0.192435100212129
"1","2016","Stratum_1"," [g]",38950.1521118972,6782.97533973459,0.174145028246572
"1","2017","Stratum_1"," [g]",35234.9428421775,7610.05832832493,0.215980436307546
"1","2018","Stratum_1"," [g]",42902.0973729108,8895.98461646365,0.207355471205488
"1","2019","Stratum_1"," [g]",49388.5812731939,9278.97365523838,0.187876902231947
"1","2020","Stratum_1"," [g]",21440.797176067,8723.22594147249,0.406851754150713
"1","2021","Stratum_1"," [g]",34110.8641724102,13031.9945111483,0.382048207435591
