"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",31434.1134529394,6400.4901685047,0.203616054834408
"1","1986","Stratum_1"," [g]",33407.2856916384,6180.42766569561,0.185002389081929
"1","1987","Stratum_1"," [g]",30043.9622172302,6195.00100273319,0.206197869573286
"1","1988","Stratum_1"," [g]",21083.590255189,5109.48689279467,0.242344251190196
"1","1989","Stratum_1"," [g]",30958.4002240773,5860.17213413788,0.189291826829612
"1","1990","Stratum_1"," [g]",25159.1327284734,5336.9660120413,0.212128377779942
"1","1991","Stratum_1"," [g]",15466.9321154571,3022.59566064763,0.195423089600746
"1","1992","Stratum_1"," [g]",39031.5962686526,7428.97175009265,0.190332255410704
"1","1993","Stratum_1"," [g]",42432.9625582123,7974.46944734946,0.187931008503344
"1","1994","Stratum_1"," [g]",29633.7615927935,5707.663838106,0.192606794794961
"1","1995","Stratum_1"," [g]",43079.9259665218,7144.08025823996,0.165833160061412
"1","1996","Stratum_1"," [g]",25379.9083675149,4917.98990492286,0.193774927541411
"1","1997","Stratum_1"," [g]",30680.0018906448,5716.04746009496,0.186311835327427
"1","1998","Stratum_1"," [g]",38953.3242840789,6529.202176513,0.167616045524044
"1","1999","Stratum_1"," [g]",54783.708914718,9035.21623609952,0.164925238087927
"1","2000","Stratum_1"," [g]",59248.4559032406,9995.3008128635,0.168701456611577
"1","2001","Stratum_1"," [g]",64165.8594764339,11498.3911156427,0.179197959934841
"1","2002","Stratum_1"," [g]",38191.1141141598,7033.22463437609,0.184158666158641
"1","2003","Stratum_1"," [g]",40159.489679043,8346.60814356788,0.207836509135809
"1","2004","Stratum_1"," [g]",61496.7524776271,12277.185508533,0.199639574675095
"1","2005","Stratum_1"," [g]",39590.1876503228,8647.29605359828,0.218420183555957
"1","2006","Stratum_1"," [g]",35184.6825823601,6989.13103552819,0.198641298501644
"1","2007","Stratum_1"," [g]",32385.2648916793,6454.39593520732,0.199300390371846
"1","2008","Stratum_1"," [g]",31526.0352334627,6155.97071650941,0.195266251240349
"1","2009","Stratum_1"," [g]",37989.2228903274,6416.94630388192,0.168914913642937
"1","2010","Stratum_1"," [g]",41284.7724723345,7532.56035908652,0.182453721021091
"1","2011","Stratum_1"," [g]",56731.6848422011,10491.5680898541,0.184933130737019
"1","2012","Stratum_1"," [g]",78130.2293347683,13358.9551008219,0.170983180448404
"1","2013","Stratum_1"," [g]",52227.6881455667,9731.39206622844,0.186326303379647
"1","2014","Stratum_1"," [g]",39072.780313666,7567.03415724897,0.193665106411748
"1","2015","Stratum_1"," [g]",44389.9394445194,8592.92834046585,0.19357828480946
"1","2016","Stratum_1"," [g]",40649.716096875,7121.26927816296,0.175186199608179
"1","2017","Stratum_1"," [g]",35975.0896990395,7803.51926335282,0.21691451859149
"1","2018","Stratum_1"," [g]",44507.2196972647,9267.31633663445,0.208220517922039
"1","2019","Stratum_1"," [g]",51791.2691035486,9734.33069374921,0.187953121486305
"1","2020","Stratum_1"," [g]",21877.8116421155,8862.7299627326,0.405101301159004
"1","2021","Stratum_1"," [g]",34869.5864681547,13295.9731602038,0.381305731065854
"1","1985","Stratum_2"," [g]",23477.2101475989,4925.24930959734,0.209788525920788
"1","1986","Stratum_2"," [g]",24081.2522631205,4613.44727877993,0.191578379245886
"1","1987","Stratum_2"," [g]",21026.352025708,4441.44969965639,0.211232537828056
"1","1988","Stratum_2"," [g]",14376.601348796,3593.33308115413,0.249943153738145
"1","1989","Stratum_2"," [g]",20144.3187795804,3939.20422500013,0.195549140584152
"1","1990","Stratum_2"," [g]",15258.2327617835,3388.05605965686,0.222047737280739
"1","1991","Stratum_2"," [g]",11458.3277612422,2261.86015911445,0.197398800788819
"1","1992","Stratum_2"," [g]",23831.4603758354,4689.5585897767,0.196780160167265
"1","1993","Stratum_2"," [g]",28409.7944230178,5583.56495988668,0.196536619616045
"1","1994","Stratum_2"," [g]",18913.4250010309,3707.57611219621,0.196028805570335
"1","1995","Stratum_2"," [g]",30773.3049888057,5109.68891965995,0.166042903793358
"1","1996","Stratum_2"," [g]",19206.0639789086,3614.74103819483,0.188208320151616
"1","1997","Stratum_2"," [g]",23887.1322702031,4337.89310085437,0.181599576365451
"1","1998","Stratum_2"," [g]",27133.8552748742,4554.76965716927,0.167862974539669
"1","1999","Stratum_2"," [g]",38956.0340275962,6405.83534203369,0.164437564088168
"1","2000","Stratum_2"," [g]",44207.186417374,7558.81435385708,0.170986099013223
"1","2001","Stratum_2"," [g]",42273.6238958188,7806.82752233344,0.184673723302573
"1","2002","Stratum_2"," [g]",28689.3454898887,5248.73785112482,0.182950770102953
"1","2003","Stratum_2"," [g]",29334.0917496649,6246.81492888741,0.212954093898571
"1","2004","Stratum_2"," [g]",44646.4122697821,8932.93998957843,0.200081922274066
"1","2005","Stratum_2"," [g]",31234.4011008995,6599.03573914841,0.211274604492364
"1","2006","Stratum_2"," [g]",27426.8393376223,5337.21499733577,0.19459825215859
"1","2007","Stratum_2"," [g]",25169.0455641101,4924.35721230902,0.195651328921702
"1","2008","Stratum_2"," [g]",22555.4790152675,4444.21579337421,0.19703486635624
"1","2009","Stratum_2"," [g]",25498.6760789926,4442.63221427319,0.174229916898835
"1","2010","Stratum_2"," [g]",25736.6141887988,4962.6963908798,0.192826311746931
"1","2011","Stratum_2"," [g]",40190.4345163948,7593.44439102872,0.18893660848407
"1","2012","Stratum_2"," [g]",51516.8667561351,9364.59489252198,0.181777260190358
"1","2013","Stratum_2"," [g]",30252.4875581836,6156.01164047298,0.203487783562701
"1","2014","Stratum_2"," [g]",19903.6139473847,4186.62274712431,0.210344852858967
"1","2015","Stratum_2"," [g]",28034.3587497564,5657.35378923714,0.201800720313829
"1","2016","Stratum_2"," [g]",24602.2621564327,4490.7261179818,0.182533056896461
"1","2017","Stratum_2"," [g]",21016.6926764758,4845.81047757565,0.230569602561663
"1","2018","Stratum_2"," [g]",26545.7801728439,5802.97320421792,0.218602473403827
"1","2019","Stratum_2"," [g]",34504.6258898506,6641.06675060258,0.192468881471224
"1","2020","Stratum_2"," [g]",14516.7949976514,5582.45746448061,0.384551649684644
"1","2021","Stratum_2"," [g]",23731.1866119127,8773.51131340065,0.369703860867896
"1","1985","Stratum_3"," [g]",6079.38175289577,1634.16631566372,0.268804688056532
"1","1986","Stratum_3"," [g]",5891.46930236003,1463.63284062426,0.248432566734745
"1","1987","Stratum_3"," [g]",5169.96977035713,1373.00999877714,0.265574086457821
"1","1988","Stratum_3"," [g]",2938.46387462087,930.672298936473,0.316720687626814
"1","1989","Stratum_3"," [g]",5676.5338394974,1360.39341594533,0.239652128289925
"1","1990","Stratum_3"," [g]",2778.30167967776,773.292122865391,0.278332669386386
"1","1991","Stratum_3"," [g]",1966.58721787075,478.150025069406,0.243136953563191
"1","1992","Stratum_3"," [g]",3635.56289281607,967.46845397134,0.266112423988888
"1","1993","Stratum_3"," [g]",3674.90715183349,1137.70079495947,0.309586269245429
"1","1994","Stratum_3"," [g]",3163.76949325095,979.835349519055,0.309705037490649
"1","1995","Stratum_3"," [g]",5609.4657606786,1337.35783725317,0.238410910113369
"1","1996","Stratum_3"," [g]",2883.83503443687,885.385989420263,0.307016864296176
"1","1997","Stratum_3"," [g]",3999.43032461737,1042.20766734296,0.260589029624529
"1","1998","Stratum_3"," [g]",4166.35871247128,1030.27661929665,0.247284665195221
"1","1999","Stratum_3"," [g]",5732.03693847334,1474.3676887249,0.257215315349587
"1","2000","Stratum_3"," [g]",10444.5312813712,2461.76938303904,0.235699364262504
"1","2001","Stratum_3"," [g]",7414.1215845768,2058.04735985261,0.277584786865898
"1","2002","Stratum_3"," [g]",4761.93353786974,1187.34299567094,0.249340522337929
"1","2003","Stratum_3"," [g]",5364.40232312277,1670.02068544836,0.311315331113381
"1","2004","Stratum_3"," [g]",7777.8933791527,2254.42717538411,0.289850614489871
"1","2005","Stratum_3"," [g]",5608.5403129925,1632.37841892212,0.291052275248986
"1","2006","Stratum_3"," [g]",4364.5017054125,1147.77129674064,0.262978771509533
"1","2007","Stratum_3"," [g]",4770.27039462425,1297.37280607983,0.271970496167655
"1","2008","Stratum_3"," [g]",6118.89726494809,1116.06803624659,0.182396923484882
"1","2009","Stratum_3"," [g]",5537.64961840307,1021.12573247565,0.184396955900239
"1","2010","Stratum_3"," [g]",6704.51753094617,1317.14355463407,0.196456128059103
"1","2011","Stratum_3"," [g]",10692.4794224382,1970.36447033908,0.184275731801202
"1","2012","Stratum_3"," [g]",10905.8504816259,2011.01977929814,0.184398253275734
"1","2013","Stratum_3"," [g]",5628.30218607894,1194.49499461307,0.21223007491807
"1","2014","Stratum_3"," [g]",5398.96239617161,1147.8108615039,0.212598417488109
"1","2015","Stratum_3"," [g]",6719.78889118837,1412.22225624791,0.210158723602127
"1","2016","Stratum_3"," [g]",6450.52926709199,1267.22998594888,0.196453644883651
"1","2017","Stratum_3"," [g]",4197.18655007835,1264.71643007794,0.301324807698703
"1","2018","Stratum_3"," [g]",5649.41842023031,1402.88380038812,0.248323578824408
