"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g/km^2]",33940.7781438658,6081.83044702015,0.225305640971703
"1","1986","Stratum_1"," [g/km^2]",35721.6981517948,6013.03338609913,0.210430393087774
"1","1987","Stratum_1"," [g/km^2]",32629.1312612306,5814.59067458214,0.223525040871058
"1","1988","Stratum_1"," [g/km^2]",24011.164070973,4784.24723113776,0.253937101448999
"1","1989","Stratum_1"," [g/km^2]",33885.3989361731,5499.8438110469,0.202998124605438
"1","1990","Stratum_1"," [g/km^2]",26535.2792792293,4802.77498384272,0.228753531498173
"1","1991","Stratum_1"," [g/km^2]",16602.7648889945,2815.47744541569,0.212011723774538
"1","1992","Stratum_1"," [g/km^2]",43932.944196811,7065.30895317849,0.201332471060102
"1","1993","Stratum_1"," [g/km^2]",47543.7612678178,7596.02075667047,0.198465377335885
"1","1994","Stratum_1"," [g/km^2]",33891.2164939741,5567.62917034365,0.205846550000507
"1","1995","Stratum_1"," [g/km^2]",45339.4833138314,6834.6040389203,0.185656921535082
"1","1996","Stratum_1"," [g/km^2]",28700.8050492363,4685.21967868019,0.203054439444658
"1","1997","Stratum_1"," [g/km^2]",34185.7314417636,5557.98848248463,0.202080488545003
"1","1998","Stratum_1"," [g/km^2]",42969.972549049,6343.35042092359,0.181755669925339
"1","1999","Stratum_1"," [g/km^2]",57404.8709093122,8623.2182673405,0.184624750650528
"1","2000","Stratum_1"," [g/km^2]",60301.770157053,9408.46575402665,0.191914625798177
"1","2001","Stratum_1"," [g/km^2]",71114.1594471303,11132.0280080154,0.194203146651507
"1","2002","Stratum_1"," [g/km^2]",40188.7408655452,6736.26570809352,0.206867643576472
"1","2003","Stratum_1"," [g/km^2]",45633.1083688492,8037.35918075464,0.221632946992705
"1","2004","Stratum_1"," [g/km^2]",68961.405147608,11478.3838907012,0.207950876076413
"1","2005","Stratum_1"," [g/km^2]",44743.5082895974,8082.73912782116,0.226673034288422
"1","2006","Stratum_1"," [g/km^2]",39424.66279519,6875.07506597185,0.217136720634757
"1","2007","Stratum_1"," [g/km^2]",36948.2914230987,6421.41407850419,0.217079322263083
"1","2008","Stratum_1"," [g/km^2]",33944.4775102637,6051.49472922395,0.223100475985381
"1","2009","Stratum_1"," [g/km^2]",41567.9257282245,6526.21595772356,0.194093111042637
