"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","1985","Stratum_1"," [g]",26915.2688963579,6071.27113452981,0.225569774461786
"1","1986","Stratum_1"," [g]",27931.836927703,5911.10746292515,0.211626162583761
"1","1987","Stratum_1"," [g]",25200.4814406683,5659.24626688458,0.224568974216173
"1","1988","Stratum_1"," [g]",18596.0807881946,4739.4685680646,0.25486384050737
"1","1989","Stratum_1"," [g]",26413.1692214839,5391.29967978303,0.20411407788952
"1","1990","Stratum_1"," [g]",20876.7622905043,4802.24535048035,0.230028262220748
"1","1991","Stratum_1"," [g]",12969.863928473,2772.86029755653,0.213792551166957
"1","1992","Stratum_1"," [g]",34379.3741838651,6948.28585562518,0.202106234350425
"1","1993","Stratum_1"," [g]",37125.8620412316,7385.27308945532,0.198925295828911
"1","1994","Stratum_1"," [g]",26613.4488219921,5494.37700926883,0.206451146035929
"1","1995","Stratum_1"," [g]",36025.7555410008,6736.94383010972,0.187003540354412
"1","1996","Stratum_1"," [g]",22464.2458173861,4573.16736748128,0.203575379501141
"1","1997","Stratum_1"," [g]",27077.9084330173,5492.66874322233,0.202846861559103
"1","1998","Stratum_1"," [g]",34249.8551468213,6248.30370783375,0.182432996608268
"1","1999","Stratum_1"," [g]",46483.7990838803,8596.9184513922,0.184944402583769
"1","2000","Stratum_1"," [g]",49072.1854669626,9460.52786561227,0.19278798723936
"1","2001","Stratum_1"," [g]",57236.7998310579,11148.043619927,0.194770561122074
"1","2002","Stratum_1"," [g]",31862.1319772555,6632.74893592324,0.208170280025767
"1","2003","Stratum_1"," [g]",36273.4450587292,8064.86561362223,0.222335253807976
"1","2004","Stratum_1"," [g]",54347.8029006496,11338.2030212365,0.208623024595185
"1","2005","Stratum_1"," [g]",35017.1352563714,7943.15498544656,0.22683623109921
"1","2006","Stratum_1"," [g]",31291.6021649825,6831.44805887407,0.218315700898146
"1","2007","Stratum_1"," [g]",29638.3547938668,6439.65568542462,0.217274397658443
"1","2008","Stratum_1"," [g]",27252.75422485,6099.90394200279,0.223827063190578
"1","2009","Stratum_1"," [g]",33681.2200214309,6572.034948189,0.19512461080707
"1","2010","Stratum_1"," [g]",35465.7033497842,7332.52542927093,0.206749753612755
"1","2011","Stratum_1"," [g]",49443.0584130516,10470.3414424924,0.211765650802227
"1","2012","Stratum_1"," [g]",64006.2490854877,13165.0300647697,0.20568351142068
"1","2013","Stratum_1"," [g]",43273.7576205047,9222.17061850002,0.213112313919562
"1","2014","Stratum_1"," [g]",32533.800380772,7235.33096534458,0.222394275512331
"1","2015","Stratum_1"," [g]",38985.3940656045,8781.07377551913,0.225240092757364
"1","2016","Stratum_1"," [g]",32056.0228921301,6946.76303117158,0.216706952529568
"1","2017","Stratum_1"," [g]",29595.6963994002,7117.78240643101,0.240500588679348
"1","2018","Stratum_1"," [g]",38387.8421581367,9066.17380097864,0.23617305092667
"1","2019","Stratum_1"," [g]",45862.2549117858,10004.7604875294,0.218148028411887
"1","2020","Stratum_1"," [g]",18751.7407967364,7562.11432535051,0.403275322932505
"1","2021","Stratum_1"," [g]",26771.8762197064,10357.1820300774,0.386867993303125
"1","1985","Stratum_2"," [g]",19514.4811097375,4560.10876959912,0.23367819743481
"1","1986","Stratum_2"," [g]",19537.0145619156,4291.21100037076,0.219645175918321
"1","1987","Stratum_2"," [g]",17422.8205810314,4013.80805697372,0.230376478843134
"1","1988","Stratum_2"," [g]",12499.5735926723,3290.90799806777,0.263281621062419
"1","1989","Stratum_2"," [g]",17081.0095435679,3611.66046862644,0.21144303323608
"1","1990","Stratum_2"," [g]",12233.2885642307,2952.03874629943,0.241311952284932
"1","1991","Stratum_2"," [g]",9308.23948082075,2022.72910110619,0.217305227833248
"1","1992","Stratum_2"," [g]",20540.9789415354,4292.35149300834,0.208965283749397
"1","1993","Stratum_2"," [g]",24380.0164223515,5054.95733058334,0.20734019382977
"1","1994","Stratum_2"," [g]",17126.3724615671,3637.586638246,0.212396796017896
"1","1995","Stratum_2"," [g]",25191.178982388,4760.70723906875,0.188983105649685
"1","1996","Stratum_2"," [g]",16764.4414194832,3363.99526831592,0.200662532329075
"1","1997","Stratum_2"," [g]",20554.4839579117,4104.81534363926,0.199704130351532
"1","1998","Stratum_2"," [g]",23673.1046317125,4352.3130666982,0.183850539859814
"1","1999","Stratum_2"," [g]",32885.5362050212,6125.95518266071,0.186281140269969
"1","2000","Stratum_2"," [g]",35854.5490345804,7022.79196958037,0.195868924827562
"1","2001","Stratum_2"," [g]",37808.9852384974,7579.32636027836,0.200463628221395
"1","2002","Stratum_2"," [g]",23594.8401504986,4920.62455081275,0.208546636443678
"1","2003","Stratum_2"," [g]",25731.9683726349,5845.17423663157,0.22715612548505
"1","2004","Stratum_2"," [g]",38918.4848738905,8199.30879822061,0.210679034006314
"1","2005","Stratum_2"," [g]",27179.3242698904,6052.13307596851,0.222674155393669
"1","2006","Stratum_2"," [g]",23696.0102997847,5112.1283956932,0.21573793778017
"1","2007","Stratum_2"," [g]",22337.942361028,4809.84775154404,0.215321880314973
"1","2008","Stratum_2"," [g]",19228.4124200968,4391.76647026845,0.228399847804302
"1","2009","Stratum_2"," [g]",22456.0487124807,4544.74919098093,0.202384188294668
"1","2010","Stratum_2"," [g]",22023.3898127172,4807.10253769358,0.218272599203497
"1","2011","Stratum_2"," [g]",34597.0400791296,7536.2236585692,0.217828566875446
"1","2012","Stratum_2"," [g]",41326.175085345,9006.73828928448,0.217942702674133
"1","2013","Stratum_2"," [g]",25253.6205520425,5768.33088226116,0.228415995653924
"1","2014","Stratum_2"," [g]",17100.4265316234,4095.37759674516,0.239489792209082
"1","2015","Stratum_2"," [g]",24168.874873453,5729.47526463085,0.237060073943453
"1","2016","Stratum_2"," [g]",19853.6616406833,4431.69917214541,0.223218228070543
"1","2017","Stratum_2"," [g]",17418.5202211374,4422.82930824724,0.253915329895827
"1","2018","Stratum_2"," [g]",23334.2179735764,5735.22061406107,0.245785850657417
"1","2019","Stratum_2"," [g]",30621.5698967875,6913.61071739717,0.225775841692638
"1","2020","Stratum_2"," [g]",12301.9448743888,4807.64634783373,0.390803762894654
"1","2021","Stratum_2"," [g]",17928.4474686873,6786.34677986003,0.378523951486185
"1","1985","Stratum_3"," [g]",4868.67996411445,1426.40813104952,0.292976359416339
"1","1986","Stratum_3"," [g]",4889.95831294803,1338.24265599958,0.273671587844843
"1","1987","Stratum_3"," [g]",4215.69014089342,1185.76366583565,0.281273913927733
"1","1988","Stratum_3"," [g]",2541.31693974379,827.730372799292,0.325709225738188
"1","1989","Stratum_3"," [g]",4739.16608216034,1204.81782907931,0.254225703043961
"1","1990","Stratum_3"," [g]",2252.75848834876,670.445232170566,0.297610789455727
"1","1991","Stratum_3"," [g]",1640.59557240426,431.413053904665,0.262961244782856
"1","1992","Stratum_3"," [g]",3244.96509785864,903.753974552559,0.278509613292589
"1","1993","Stratum_3"," [g]",3284.07623901871,1024.09098393909,0.311835325797764
"1","1994","Stratum_3"," [g]",3034.91272723334,952.658042903478,0.313899650014626
