Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
1985,2397.93335189619,404.595537637493,15994.758663922,2198.57886723578,5843.7671358657,978.234157922416,19440.59244789151,2772.217487520703,2556.23165499065,427.405942278214,25598.514350709,3326.76759991925
1986,2461.2902695729,411.677141078915,14755.1420323975,1973.95025329177,6284.18170629159,1052.186672339405,18578.03346911619,2614.45978455226,2815.90107363561,467.668513724321,24741.0839800055,3062.1619132855
1987,1935.99761463749,310.878085528243,13668.042763796,1851.53876320652,5297.75940443277,875.465895607849,17029.80455359128,2416.1265732861257,2219.63493508551,363.674398382307,23410.4975889131,3035.91817286554
1988,1173.43227966128,207.716189761952,9445.65573344664,1348.59601882519,3553.1649806451,644.98375654627,11825.38843443046,1785.863585609508,1656.47475697618,297.180286601463,16554.0333651837,2240.47188778241
1989,1576.22552247456,228.249680533667,10080.4689908654,1270.84239005656,4321.20930305801,633.501786722932,12825.45277144885,1676.094496245825,1892.51287071271,281.675024422744,16666.3321898994,1969.89083946883
1990,1505.88625669985,233.662735306409,11141.0212407314,1521.01144814006,4812.17490713159,797.074775601388,14447.309891163139,2084.423488435039,2268.5865362977,390.009411110116,18251.2236537256,2309.65275426647
1991,918.401957755691,147.575893619574,7722.87849423641,1044.27576371332,2795.7092457217113,472.975559017738,9600.18578220243,1369.675429111484,1274.65426265151,215.709795706733,15439.7098007676,1961.8825196249
1992,1437.43758839821,223.383045049173,12213.7148695024,1516.5376308487,4341.53633826464,673.133618348862,15117.81361936883,1966.288204148389,1815.44772497795,279.978351808355,21370.8049925333,2552.28506750948
1993,1411.10221396879,224.650322471667,13889.5051529005,1758.89041950935,4089.31980476819,683.352638905373,16567.7227436999,2217.592735943056,1694.10206555735,279.376715751762,24892.3053614247,2973.15608208606
1994,1045.97859627097,187.156987716275,9819.51795969236,1293.85597825561,2982.47301712043,549.600543834086,11756.01238054182,1656.299534373421,1311.85901512782,251.401749137204,17013.5197104464,2026.32487924538
