Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
1985,6034.1946152476,1730.76725952427,45260.1987095295,11846.0630941925,15262.67969479243,4309.09054340704,54488.683789074326,14424.386378075269,6773.11183547806,1884.60654401508,78534.175680069,20264.2478908779
1986,6745.96470843648,2050.60420209301,39767.3969784958,10577.3350174522,15787.321860694101,4581.59067949392,48808.75413075343,13108.32149485311,7189.25720057487,2057.06501943853,71878.9375059568,18466.2119436728
1987,5108.14775554158,1474.44042980039,41525.6163778084,10673.5057717859,14281.10899756038,4097.88696585103,50698.5776198272,13296.95230783654,6221.45806550343,1764.38094485777,76272.8857800687,19082.643805205
1988,3070.0816593432,869.070446560003,23865.6697280789,6047.62100407698,8753.01042746201,2411.176290366013,29548.598496197712,7589.72684788299,4177.3269925144,1146.15811967272,41778.669587228,10242.757370121
1989,3394.39810963409,954.487616922352,25803.9833197173,6752.31117999603,9694.38443832884,2683.366451492562,32103.96964841205,8481.19001456624,4420.45222926296,1213.38028946945,45220.2016478305,11506.2271800236
1990,4704.22164212751,1337.75900460197,32434.1953278033,8504.69562304273,14140.05125535477,3932.26330952775,41870.02494103056,11099.19992796851,6552.35084136473,1818.89182909782,52279.9389417814,13374.2992028782
1991,2940.1204701386,863.387549264653,23931.4574839388,6277.31458761689,8655.901499768,2458.6387307706327,29647.2385135682,7872.56576912287,3918.07172910932,1102.77817337299,49439.3482562359,12529.7008470129
1992,3975.30811626667,1120.97242438674,29121.5707798418,7251.55282930696,11253.1739344804,3054.9872962042,36399.43659805553,9185.56770112442,4818.48255207101,1300.94677123583,50930.4881004597,12418.0313188309
1993,3663.6600742576,1009.96877582328,31165.3827135349,7819.84700435883,10259.217667128061,2750.02540916304,37760.94030640536,9559.90363769859,4367.51166034194,1173.78485403375,52407.2958160214,12900.3835407798
1994,2713.09404826108,803.712553995126,23681.3527688007,6050.31370309417,7571.738990238409,2155.5552994387263,28539.997710778032,7402.156448537769,3393.70070468906,976.753240557075,41399.3314325384,10219.637613127
1995,2234.72709458444,681.10800701994,15971.6531090131,4410.53682698802,5904.34593941071,1773.62751803316,19641.27195383937,5503.05633800124,2567.07901424776,754.490383673991,29288.6840543821,7835.58176018503
1996,3909.14882221341,1135.94224575022,28994.7533380968,7288.57728246877,10885.95281853456,3048.7326331715203,35971.55733441795,9201.36766989007,4486.18590066388,1245.56349485126,53085.4796793604,12834.793930153
1997,3175.34940012956,946.284729590196,22198.7596855078,5779.70961325272,8273.70548662009,2349.227441939066,27297.11577199833,7182.65232560159,3695.40029801348,1030.17508871519,40109.5237096558,10176.2653565663
1998,1706.55207008134,483.031659559009,17146.1107952263,4152.47716105403,5101.50225858798,1381.828991332652,20541.06098373294,5051.274492827673,2065.37356226023,554.734751394452,34925.2811805657,8196.00408428653
