Time,BigOld_Estimate,BigOld_SE,BigNew_Estimate,BigNew_SE,AlbOld_Estimate,AlbOld_SE,AlbNew_Estimate,AlbNew_SE,StateWaters_Estimate,StateWaters_SE,FedWaters_Estimate,FedWaters_SE
1985,2580.53069147756,675.367727817403,14208.1569638422,2850.24712691351,5840.66213438737,1473.984738525507,17468.28840675201,3648.8641376216137,2368.67107762707,591.000223548673,21584.3092075575,4042.83344182139
1986,2363.92881791439,532.924154010993,14619.5611763063,2726.31392428004,6108.15979666767,1443.108277141091,18363.792155059582,3636.4980474101376,2489.42490902677,580.25886338431,22041.9443693516,3884.12196688795
1987,2147.48686695404,531.831145887006,12823.9694919382,2500.93923698993,5217.169455175061,1277.5100438204108,15893.65208015922,3246.618134923335,2036.71525510516,493.032763269991,19880.8825357557,3685.56468709567
1988,1164.17958127451,321.15061172098,8741.86083957969,1906.12560505133,3178.85927261785,863.502448457265,10756.54053092303,2448.477441787615,1288.17919884497,349.81946392927,14370.4113853984,2972.34984274961
1989,2536.84164334977,581.676532339455,12725.522410616,2333.99038395253,5883.39861094599,1313.743918048826,16072.07937821222,3066.057769661901,2370.76933148386,536.854392818625,18996.5505428749,3250.83731666448
1990,1061.09286614381,259.100090118426,8431.22715620256,1705.55336068242,2795.13027352668,693.561756855353,10165.26456358543,2140.015027419347,1239.1836038976,309.328679098418,14024.9815952114,2690.59206547967
1991,856.559479185471,194.00718960596,6778.84448513559,1260.27047787928,2022.095890889331,458.637922348952,7944.38089683945,1524.901210622272,853.21319613541,192.62692462276,10832.6323088844,1902.40572778628
1992,1502.81946834861,345.926378188257,13903.9917035923,2439.61346895492,4054.21209802214,964.1129126088709,16455.38433326583,3057.800003375534,1668.80042011713,399.68788021008,23914.8330396877,4047.7277093442
1993,1499.94081798447,390.350511377343,15377.8617601918,2780.44129441018,4213.52100275847,1118.002553756846,18091.441944965798,3508.0933367896832,1685.12390365415,431.378468665382,28248.5725468519,4764.60871626424
1994,1485.89323150616,391.259027913429,11828.3223466828,2193.93592442231,3886.98044294994,1016.06451890826,14229.40955812658,2818.741415417141,1572.17014249162,409.533488184631,19686.2066002417,3332.06958843976
1995,2173.14931353117,441.255022653788,17383.7341923886,2833.01995894044,5743.55064128471,1257.266492154556,20954.135520142143,3649.031428441208,2299.91870284055,496.998955451097,28499.4246418975,4419.97520270323
1996,1230.36728216406,312.404844134571,11224.6309482756,1997.82112079133,3383.02021118437,864.490504586951,13377.283877295911,2549.90678124371,1360.8086309479,351.155932436978,19273.8497856879,3128.55588116767
1997,1507.59996072185,341.530049261061,14376.2610786128,2475.46168072439,4278.10111654707,1011.131107192721,17146.76223443802,3145.06273865605,1793.03386473005,429.684890652336,23346.2873556343,3786.57883964184
1998,1772.22712809837,385.815733121033,15645.0657333511,2531.256138496,4551.21107554807,1021.918764038383,18424.0496808008,3167.35916941335,1930.27659977866,426.053271693418,26752.7276053204,4055.58254305764
1999,2069.97531407101,439.019593998175,20205.2802907665,3304.53767820397,6138.39052833178,1420.098785202883,24273.69550502727,4285.616869408677,2377.88076775935,517.2293435571,36557.9353581422,5671.26403167285
